company_name,contract_type,ttm_usd,share_pct,cum_share_pct
Copperfield Atlas Inc,monthly,132109.0,0.67,0.7
Ravenswood Freight Group,annual,129982.0,0.66,1.3
ACME FOUNDRY LABS,annual,129518.0,0.66,2.0
Andre Freres Trading,monthly,123983.0,0.63,2.6
Hollowway Nimbus Inc,annual,122392.0,0.62,3.2
Nightingale Freight,annual,122370.0,0.62,3.9
Zenith Vector Labs,annual,122296.0,0.62,4.5
Glenrock Quantum Corp,annual,121974.0,0.62,5.1
Ravenswood Lumen Holdings,annual,121209.0,0.62,5.7
YELLOWFIN SABLE INC,annual,120640.0,0.61,6.3
