base_month,measured_month,base_customers,still_paying,logo_retention_pct,grr_pct,nrr_pct
2022-10-01,2023-10-01,4,4,100.0,99.4,103.4
2022-11-01,2023-11-01,17,16,94.1,91.4,92.4
2022-12-01,2023-12-01,33,31,93.9,89.5,91.3
2023-01-01,2024-01-01,59,53,89.8,89.9,94.4
2023-02-01,2024-02-01,77,72,93.5,91.3,93.7
2023-03-01,2024-03-01,105,100,95.2,87.4,89.2
2023-04-01,2024-04-01,129,118,91.5,86.0,88.4
2023-05-01,2024-05-01,154,145,94.2,91.6,95.2
2023-06-01,2024-06-01,177,155,87.6,87.6,92.4
2023-07-01,2024-07-01,196,179,91.3,85.2,87.2
2023-08-01,2024-08-01,226,214,94.7,90.1,93.2
2023-09-01,2024-09-01,249,221,88.8,85.9,88.5
2023-10-01,2024-10-01,273,252,92.3,87.5,91.7
2023-11-01,2024-11-01,283,259,91.5,85.4,88.4
2023-12-01,2024-12-01,310,284,91.6,84.2,88.9
2024-01-01,2025-01-01,333,302,90.7,85.4,91.9
2024-02-01,2025-02-01,349,297,85.1,81.9,87.0
2024-03-01,2025-03-01,381,336,88.2,83.4,87.0
2024-04-01,2025-04-01,393,344,87.5,83.1,87.3
2024-05-01,2025-05-01,431,382,88.6,81.4,85.2
2024-06-01,2025-06-01,426,366,85.9,81.8,87.5
2024-07-01,2025-07-01,464,405,87.3,81.7,85.2
2024-08-01,2025-08-01,504,434,86.1,81.9,87.6
2024-09-01,2025-09-01,524,446,85.1,81.7,85.3
2024-10-01,2025-10-01,558,474,84.9,81.3,87.6
2024-11-01,2025-11-01,586,482,82.3,82.6,86.8
2024-12-01,2025-12-01,612,502,82.0,82.7,87.1
2025-01-01,2026-01-01,638,519,81.3,78.6,83.6
2025-02-01,2026-02-01,615,488,79.3,76.0,80.3
2025-03-01,2026-03-01,655,508,77.6,73.7,78.4
2025-04-01,2026-04-01,649,495,76.3,69.7,73.0
2025-05-01,2026-05-01,695,523,75.3,73.0,78.2
2025-06-01,2026-06-01,709,506,71.4,66.8,69.8
2025-07-01,2026-07-01,733,518,70.7,67.0,71.1
