cohort,k,cohort_size,active,logo_retention_pct,revenue_retention_pct,cum_rev_per_cohort_customer
2022-10-01,0,4,4,100.0,100.0,721.0
2022-10-01,1,4,3,75.0,91.1,1378.0
2022-10-01,2,4,4,100.0,100.3,2101.0
2022-10-01,3,4,4,100.0,101.9,2836.0
2022-10-01,4,4,2,50.0,19.5,2977.0
2022-10-01,5,4,4,100.0,111.0,3777.0
2022-10-01,6,4,4,100.0,112.8,4590.0
2022-10-01,7,4,4,100.0,117.7,5439.0
2022-10-01,8,4,4,100.0,106.7,6208.0
2022-10-01,9,4,4,100.0,102.6,6948.0
2022-10-01,10,4,4,100.0,110.3,7743.0
2022-10-01,11,4,4,100.0,100.8,8470.0
2022-10-01,12,4,4,100.0,103.4,9216.0
2022-10-01,13,4,4,100.0,105.7,9979.0
2022-10-01,14,4,3,75.0,103.1,10722.0
2022-10-01,15,4,3,75.0,172.5,11965.0
2022-10-01,16,4,3,75.0,94.2,12645.0
2022-10-01,17,4,4,100.0,98.9,13358.0
2022-10-01,18,4,4,100.0,108.7,14142.0
2022-10-01,19,4,4,100.0,101.6,14875.0
2022-10-01,20,4,3,75.0,98.4,15585.0
2022-10-01,21,4,4,100.0,98.2,16293.0
2022-10-01,22,4,3,75.0,91.2,16950.0
2022-10-01,23,4,4,100.0,114.3,17774.0
2022-10-01,24,4,4,100.0,123.3,18663.0
2022-10-01,25,4,4,100.0,112.1,19471.0
2022-10-01,26,4,4,100.0,111.0,20272.0
2022-10-01,27,4,4,100.0,107.6,21048.0
2022-10-01,28,4,4,100.0,100.3,21771.0
2022-10-01,29,4,4,100.0,105.0,22528.0
2022-10-01,30,4,4,100.0,102.2,23265.0
2022-10-01,31,4,4,100.0,107.7,24042.0
2022-10-01,32,4,4,100.0,101.5,24773.0
2022-10-01,33,4,4,100.0,111.9,25580.0
2022-10-01,34,4,4,100.0,113.5,26399.0
2022-10-01,35,4,3,75.0,90.8,27054.0
2022-10-01,36,4,3,75.0,101.3,27784.0
2022-10-01,37,4,3,75.0,98.7,28496.0
2022-10-01,38,4,3,75.0,99.5,29213.0
2022-10-01,39,4,3,75.0,101.5,29945.0
2022-10-01,40,4,3,75.0,97.9,30652.0
2022-10-01,41,4,3,75.0,102.1,31388.0
2022-10-01,42,4,3,75.0,93.7,32063.0
2022-10-01,43,4,3,75.0,93.8,32740.0
2022-10-01,44,4,2,50.0,80.3,33319.0
2022-10-01,45,4,2,50.0,91.6,33980.0
2022-11-01,0,14,14,100.0,100.0,2632.0
2022-11-01,1,14,13,92.9,112.8,5603.0
2022-11-01,2,14,14,100.0,98.4,8194.0
2022-11-01,3,14,13,92.9,83.6,10394.0
2022-11-01,4,14,14,100.0,112.1,13344.0
2022-11-01,5,14,13,92.9,96.8,15892.0
2022-11-01,6,14,13,92.9,96.1,18421.0
2022-11-01,7,14,14,100.0,98.9,21023.0
2022-11-01,8,14,13,92.9,97.8,23598.0
2022-11-01,9,14,14,100.0,97.4,26161.0
2022-11-01,10,14,14,100.0,100.1,28796.0
2022-11-01,11,14,13,92.9,95.2,31302.0
2022-11-01,12,14,13,92.9,91.5,33711.0
2022-11-01,13,14,14,100.0,95.8,36232.0
2022-11-01,14,14,13,92.9,90.0,38601.0
2022-11-01,15,14,14,100.0,95.5,41115.0
2022-11-01,16,14,14,100.0,94.3,43598.0
2022-11-01,17,14,14,100.0,94.4,46084.0
2022-11-01,18,14,14,100.0,94.8,48580.0
2022-11-01,19,14,12,85.7,79.9,50683.0
2022-11-01,20,14,13,92.9,93.9,53156.0
2022-11-01,21,14,14,100.0,93.1,55607.0
2022-11-01,22,14,12,85.7,89.3,57957.0
2022-11-01,23,14,14,100.0,95.6,60473.0
2022-11-01,24,14,10,71.4,88.7,62808.0
2022-11-01,25,14,12,85.7,76.7,64828.0
2022-11-01,26,14,12,85.7,78.2,66886.0
2022-11-01,27,14,11,78.6,75.0,68861.0
2022-11-01,28,14,13,92.9,92.9,71307.0
2022-11-01,29,14,11,78.6,79.9,73411.0
2022-11-01,30,14,12,85.7,78.7,75483.0
2022-11-01,31,14,12,85.7,89.0,77826.0
2022-11-01,32,14,11,78.6,94.2,80306.0
2022-11-01,33,14,12,85.7,89.3,82655.0
2022-11-01,34,14,10,71.4,87.5,84960.0
2022-11-01,35,14,12,85.7,92.8,87401.0
2022-11-01,36,14,10,71.4,65.7,89132.0
2022-11-01,37,14,9,64.3,62.6,90780.0
2022-11-01,38,14,10,71.4,62.2,92418.0
2022-11-01,39,14,10,71.4,63.8,94098.0
2022-11-01,40,14,9,64.3,65.1,95812.0
2022-11-01,41,14,9,64.3,61.7,97436.0
2022-11-01,42,14,10,71.4,62.4,99079.0
2022-11-01,43,14,10,71.4,66.0,100816.0
2022-11-01,44,14,7,50.0,34.8,101731.0
2022-12-01,0,16,16,100.0,100.0,2345.0
2022-12-01,1,16,16,100.0,99.8,4685.0
2022-12-01,2,16,15,93.8,99.4,7017.0
2022-12-01,3,16,16,100.0,101.5,9397.0
2022-12-01,4,16,16,100.0,100.7,11757.0
2022-12-01,5,16,16,100.0,100.8,14121.0
2022-12-01,6,16,16,100.0,99.0,16444.0
2022-12-01,7,16,16,100.0,102.1,18837.0
2022-12-01,8,16,16,100.0,99.3,21165.0
2022-12-01,9,16,14,87.5,92.0,23323.0
2022-12-01,10,16,16,100.0,100.9,25688.0
2022-12-01,11,16,15,93.8,96.4,27948.0
2022-12-01,12,16,15,93.8,99.3,30276.0
2022-12-01,13,16,15,93.8,98.1,32575.0
2022-12-01,14,16,15,93.8,98.3,34881.0
2022-12-01,15,16,15,93.8,98.1,37181.0
2022-12-01,16,16,15,93.8,101.9,39571.0
2022-12-01,17,16,14,87.5,94.1,41778.0
2022-12-01,18,16,14,87.5,93.1,43960.0
2022-12-01,19,16,15,93.8,99.6,46296.0
2022-12-01,20,16,14,87.5,88.2,48365.0
2022-12-01,21,16,15,93.8,99.5,50698.0
2022-12-01,22,16,14,87.5,95.1,52928.0
2022-12-01,23,16,16,100.0,100.9,55294.0
2022-12-01,24,16,15,93.8,72.0,56983.0
2022-12-01,25,16,13,81.3,66.4,58540.0
2022-12-01,26,16,14,87.5,67.0,60110.0
2022-12-01,27,16,14,87.5,66.4,61668.0
2022-12-01,28,16,14,87.5,67.8,63257.0
2022-12-01,29,16,13,81.3,66.6,64819.0
2022-12-01,30,16,14,87.5,67.5,66401.0
2022-12-01,31,16,14,87.5,68.5,68007.0
2022-12-01,32,16,14,87.5,68.3,69608.0
2022-12-01,33,16,14,87.5,68.9,71224.0
2022-12-01,34,16,14,87.5,67.9,72815.0
2022-12-01,35,16,14,87.5,69.2,74438.0
2022-12-01,36,16,13,81.3,91.3,76577.0
2022-12-01,37,16,13,81.3,87.8,78637.0
2022-12-01,38,16,14,87.5,91.4,80779.0
2022-12-01,39,16,14,87.5,95.1,83008.0
2022-12-01,40,16,14,87.5,91.4,85151.0
2022-12-01,41,16,13,81.3,100.5,87507.0
2022-12-01,42,16,13,81.3,79.8,89377.0
2022-12-01,43,16,13,81.3,79.5,91242.0
2023-01-01,0,25,25,100.0,100.0,2345.0
2023-01-01,1,25,23,92.0,81.1,4248.0
2023-01-01,2,25,23,92.0,79.5,6113.0
2023-01-01,3,25,24,96.0,98.7,8428.0
2023-01-01,4,25,25,100.0,98.6,10741.0
2023-01-01,5,25,24,96.0,83.2,12692.0
2023-01-01,6,25,25,100.0,117.4,15446.0
2023-01-01,7,25,24,96.0,98.4,17754.0
2023-01-01,8,25,24,96.0,100.9,20120.0
2023-01-01,9,25,24,96.0,92.0,22279.0
2023-01-01,10,25,23,92.0,98.5,24589.0
2023-01-01,11,25,20,80.0,89.6,26691.0
2023-01-01,12,25,22,88.0,90.1,28804.0
2023-01-01,13,25,23,92.0,88.3,30875.0
2023-01-01,14,25,22,88.0,72.9,32584.0
2023-01-01,15,25,22,88.0,86.9,34622.0
2023-01-01,16,25,23,92.0,86.0,36639.0
2023-01-01,17,25,22,88.0,85.0,38632.0
2023-01-01,18,25,20,80.0,77.9,40460.0
2023-01-01,19,25,24,96.0,88.9,42545.0
2023-01-01,20,25,20,80.0,67.2,44121.0
2023-01-01,21,25,24,96.0,88.1,46187.0
2023-01-01,22,25,24,96.0,87.2,48233.0
2023-01-01,23,25,23,92.0,68.8,49847.0
2023-01-01,24,25,20,80.0,77.6,51668.0
2023-01-01,25,25,19,76.0,62.5,53134.0
2023-01-01,26,25,21,84.0,80.6,55024.0
2023-01-01,27,25,19,76.0,59.3,56414.0
2023-01-01,28,25,20,80.0,59.6,57812.0
2023-01-01,29,25,18,72.0,45.8,58887.0
2023-01-01,30,25,21,84.0,78.5,60728.0
2023-01-01,31,25,21,84.0,66.0,62275.0
2023-01-01,32,25,21,84.0,63.5,63764.0
2023-01-01,33,25,21,84.0,68.8,65379.0
2023-01-01,34,25,20,80.0,70.5,67033.0
2023-01-01,35,25,20,80.0,63.7,68528.0
2023-01-01,36,25,18,72.0,60.9,69956.0
2023-01-01,37,25,16,64.0,50.0,71130.0
2023-01-01,38,25,14,56.0,47.4,72241.0
2023-01-01,39,25,16,64.0,43.5,73262.0
2023-01-01,40,25,16,64.0,42.3,74254.0
2023-01-01,41,25,16,64.0,42.3,75246.0
2023-01-01,42,25,16,64.0,44.5,76290.0
2023-02-01,0,24,24,100.0,100.0,2169.0
2023-02-01,1,24,23,95.8,102.8,4400.0
2023-02-01,2,24,22,91.7,96.1,6485.0
2023-02-01,3,24,23,95.8,98.8,8628.0
2023-02-01,4,24,24,100.0,100.9,10817.0
2023-02-01,5,24,24,100.0,98.4,12951.0
2023-02-01,6,24,24,100.0,99.8,15115.0
2023-02-01,7,24,24,100.0,98.3,17247.0
2023-02-01,8,24,24,100.0,99.1,19397.0
2023-02-01,9,24,21,87.5,95.0,21458.0
2023-02-01,10,24,23,95.8,95.3,23525.0
2023-02-01,11,24,24,100.0,98.3,25658.0
2023-02-01,12,24,23,95.8,94.1,27698.0
2023-02-01,13,24,23,95.8,95.8,29777.0
2023-02-01,14,24,22,91.7,77.2,31452.0
2023-02-01,15,24,23,95.8,100.0,33621.0
2023-02-01,16,24,22,91.7,93.0,35639.0
2023-02-01,17,24,23,95.8,98.6,37778.0
2023-02-01,18,24,22,91.7,92.0,39773.0
2023-02-01,19,24,20,83.3,98.0,41898.0
2023-02-01,20,24,21,87.5,95.5,43971.0
