customer_ref,company_name,billing_email,first_invoice_date,last_paid_invoice_date,contract_type
cus_000000500506,Verdigris Atlas Systems,ap@verdigris.com,2026-01-09,2026-08-03,monthly
cus_000000500908,Northgate Nimbus,ap@northgate.com,2023-09-16,2025-09-17,annual
cus_000000500195,Grupo Pena Analytics,ap@grupo.com,2023-08-17,2026-05-14,usage
cus_000000500960,Ferreira Servicos,ap@ferreira.com,2023-10-01,2026-04-27,usage
cus_000000500220,Quarry Onyx Holdings,ap@quarry.com,2025-05-13,2026-05-15,annual
cus_000000500177,Copperfield Summit Holdings,ap@copperfield.com,2022-10-30,2026-08-06,monthly
cus_000000500767,Munoz Holdings Onyx,ap@munoz.com,2025-03-08,2025-08-30,usage
cus_000000501054,Munoz Holdings Trading,ap@munoz.com,2024-01-31,2026-01-24,annual
cus_000000500447,Silverline Sterling Labs,ap@silverline.com,2023-07-04,2026-08-15,monthly
cus_000000500615,Cerulean Foundry,ap@cerulean.com,2023-06-26,2024-11-02,monthly
cus_000000500034,Verdigris Analytics,ap@verdigris.com,2025-01-18,2026-08-05,monthly
cus_000000500685,Underhill Cascade Group,ap@underhill.com,2023-12-01,2026-07-30,monthly
cus_000000501045,Orchard Supply Incorporated,ap@orchard.com,2024-11-28,2025-11-27,annual
cus_000000500029,Dovetail Cascade Corp,ap@dovetail.com,2025-11-10,2025-11-10,annual
cus_000000501013,Yarrow Nimbus LLC,ap@yarrow.com,2024-08-13,2025-08-11,annual
cus_000000500713,Eastvale Vector LLC,ap@eastvale.com,2024-07-14,2026-07-13,annual
cus_000000500807,Oakfield Nimbus Systems,ap@oakfield.com,2025-06-11,2025-06-11,annual
cus_000000500412,Alder Precision Systems,ap@alder.com,2023-08-22,2026-08-19,annual
cus_000000500794,Ironwood Pioneer Labs,ap@ironwood.com,2025-05-17,2026-08-03,monthly
cus_000000500001,Grupo Pena Lumen,ap@grupo.com,2023-09-01,2024-08-31,annual
cus_000000500091,Copperfield Analytics Corp,ap@copperfield.com,2022-11-30,2025-11-26,annual
cus_000000500110,Lakeshore Nimbus Partners,ap@lakeshore.com,2025-06-26,2026-07-23,monthly
cus_000000500329,Pinnacle Vector Partners,ap@pinnacle.com,2025-05-26,2026-08-10,monthly
cus_000000500097,NUNEZ CAPITAL SUPPLY,ap@nunez.com,2025-11-09,2025-11-09,annual
cus_000000500529,Alder Pioneer LLC,ap@alder.com,2024-11-07,2026-08-06,usage
cus_000000500269,Zenith Summit LLC,ap@zenith.com,2023-03-28,2026-03-28,annual
cus_000000501027,Glenrock Onyx Corp,ap@glenrock.com,2023-04-22,2026-04-23,annual
cus_000000500636,Dovetail Pioneer Holdings,ap@dovetail.com,2023-03-29,2025-02-16,monthly
cus_000000500802,Acme Keystone Systems,ap@acme.com,2024-09-16,2025-09-17,annual
cus_000000500309,PEMBERTON LUMEN CORP,ap@pemberton.com,2023-01-19,2025-01-23,annual
cus_000000500543,Meridian Clinical Partners,ap@meridian.com,2025-05-12,2026-06-30,usage
cus_000000500893,Glenrock Foundry Group,ap@glenrock.com,2022-11-18,2025-11-15,annual
cus_000000500590,Cranfield Beacon Labs,ap@cranfield.com,2025-03-09,2026-07-31,usage
cus_000000500557,Ironwood Lumen Holdings,ap@ironwood.com,2023-11-24,2025-11-24,annual
cus_000000501144,Harborview Coastal Systems,ap@harborview.com,2024-12-04,2026-08-19,monthly
cus_000000500487,Kestrel Analytics Labs,ap@kestrel.com,2024-03-24,2026-03-25,annual
cus_000000500148,NORTHWIND COASTAL LLC,ap@northwind.com,2024-05-21,2024-12-28,monthly
cus_000000500211,Meridian Lumen Labs,ap@meridian.com,2024-09-18,2025-09-18,annual
cus_000000501137,Dunmore Coastal Group,ap@dunmore.com,2025-12-02,2026-07-29,monthly
cus_000000500610,Acme Cascade Labs,ap@acme.com,2026-02-06,2026-02-06,annual
cus_000000501056,Andre Freres Trading,ap@andre.com,2024-04-14,2026-07-21,monthly
cus_000000501096,Cerulean Vector,ap@cerulean.com,2025-11-01,,monthly
cus_000000500864,Sao Bento Vector,ap@sao.com,2026-01-19,2026-07-27,usage
cus_000000500971,Vantage Cascade LLC - Div 2,ap@vantage.com,2023-11-17,2026-08-03,monthly
cus_000000501065,Quillfeather Vector,ap@quillfeather.com,2025-05-26,2026-07-18,monthly
cus_000000500753,Meridian Summit Holdings,ap@meridian.com,2025-03-04,2026-03-02,annual
cus_000000500241,Verdigris Digital,ap@verdigris.com,2025-05-06,2026-05-04,annual
cus_000000500315,Hollowway Nimbus Inc,ap@hollowway.com,2022-12-18,2025-12-16,annual
cus_000000500566,Redstone Pioneer Corp,ap@redstone.com,2025-12-16,2025-12-16,annual
cus_000000500789,YARROW SABLE GROUP,ap@yarrow.com,2025-06-06,2026-06-03,annual
cus_000000500464,Harborview Freight Systems,ap@harborview.com,2024-08-04,2026-08-17,usage
cus_000000500493,Eastvale Precision Systems,ap@eastvale.com,2024-01-27,2025-01-27,annual
cus_000000500018,Umbra Coastal Labs,ap@umbra.com,2024-09-24,2025-09-22,annual
cus_000000500112,CRANFIELD COMPASS CORP,ap@cranfield.com,2023-11-20,2025-11-17,annual
cus_000000501008,Hollowway Foundry Holdings,ap@hollowway.com,2023-03-11,2025-03-06,annual
cus_000000500855,Pemberton Compass Inc,ap@pemberton.com,2023-09-20,2026-05-31,usage
cus_000000500712,Quillfeather Foundry Group,ap@quillfeather.com,2025-10-30,2026-07-23,monthly
cus_000000500243,COPPERFIELD ONYX PARTNERS,ap@copperfield.com,2023-12-05,2026-08-10,monthly
cus_000000500010,Dovetail Onyx,ap@dovetail.com,2026-04-15,,monthly
cus_000000500179,VANTAGE ATLAS INC,ap@vantage.com,2023-08-12,2026-08-03,annual
cus_000000500238,Northwind Nimbus LLC,ap@northwind.com,2026-04-13,,annual
cus_000000500715,Hollowway Onyx Holdings,ap@hollowway.com,2022-10-31,2025-08-20,usage
cus_000000500791,Larkspur Precision,ap@larkspur.com,2023-11-15,2025-11-14,annual
cus_000000500328,INGLEWOOD KEYSTONE HOLDINGS,ap@inglewood.com,2023-02-18,2026-08-03,monthly
cus_000000501055,GARCIA SISTEMAS SUMMIT,ap@garcia.com,2026-05-08,,annual
cus_000000500884,Alder Atlas Partners,ap@alder.com,2024-01-12,2026-01-10,annual
cus_000000500132,Vantage Lumen Partners,ap@vantage.com,2022-12-21,2026-05-30,monthly
cus_000000500109,DUNMORE SUMMIT SYSTEMS,ap@dunmore.com,2025-01-01,2026-02-27,monthly
cus_000000500925,Lakeshore Clinical,ap@lakeshore.com,2025-06-21,2026-07-22,monthly
cus_000000500466,Glenrock Quantum Corp,ap@glenrock.com,2023-12-23,2025-12-24,annual
cus_000000500219,Orchard Trading Partners,ap@orchard.com,2023-01-14,2025-01-17,annual
cus_000000500596,Pinnacle Compass Inc,ap@pinnacle.com,2025-04-14,,annual
cus_000000500705,Harborview Quantum Inc.,ap@harborview.com,2023-05-10,2026-05-06,annual
cus_000000500059,VERDIGRIS ONYX INC,ap@verdigris.com,2024-03-24,2025-03-23,annual
cus_000000500657,Lakeshore Anchor Holdings,ap@lakeshore.com,2023-10-17,2025-10-15,annual
cus_000000500441,Dunmore Onyx,ap@dunmore.com,2024-11-29,2026-08-18,monthly
cus_000000500822,Lakeshore Atlas Partners,ap@lakeshore.com,2026-01-20,2026-07-21,monthly
cus_000000501076,Juniper Lumen Inc,ap@juniper.com,2024-03-25,2026-05-01,monthly
cus_000000500452,Stonebridge Trading,ap@stonebridge.com,2025-11-19,,annual
cus_000000500449,Larkspur Clinical LLC,ap@larkspur.com,2023-06-06,2026-06-04,annual
cus_000000500108,Quarry Vector Corp.,ap@quarry.com,2024-08-30,2025-08-29,annual
cus_000000500378,Fairmount Supply Corp,ap@fairmount.com,2024-07-06,2025-07-07,annual
cus_000000501069,Orchard Digital Systems,ap@orchard.com,2023-07-31,2026-08-02,annual
cus_000000500654,Pemberton Lumen Systems,ap@pemberton.com,2023-04-07,2026-07-25,usage
cus_000000500350,Cerulean Trading LLC,ap@cerulean.com,2026-07-04,2026-07-04,annual
cus_000000500165,Underhill Clinical Corp,ap@underhill.com,2023-10-21,2025-10-17,annual
cus_000000500141,Silverline Vector Inc,ap@silverline.com,2025-12-06,2025-12-06,annual
cus_000000500516,Stonebridge Freight Group,ap@stonebridge.com,2026-02-12,2026-08-08,monthly
cus_000000500277,Brightwater Summit Corporation,ap@brightwater.com,2025-01-17,2026-08-08,monthly
cus_000000500888,Westbrook Supply LLC,ap@westbrook.com,2024-05-02,2026-05-16,monthly
cus_000000500554,Juniper Compass Systems,ap@juniper.com,2023-03-20,2026-08-06,monthly
cus_000000501143,Northgate Sable Partners,ap@northgate.com,2023-06-28,2025-10-15,monthly
cus_000000501064,Ironwood Sable,ap@ironwood.com,2026-01-22,2026-01-22,annual
cus_000000500983,Pemberton Anchor Group,ap@pemberton.com,2023-05-24,2026-05-27,annual
cus_000000500535,Verdigris Analytics Partners,ap@verdigris.com,2024-04-02,2025-04-02,annual
cus_000000500354,Glenrock Trading LLC,ap@glenrock.com,2024-06-16,2026-07-22,monthly
cus_000000501103,VANTAGE PIONEER PARTNERS,ap@vantage.com,2023-07-11,2026-05-30,usage
cus_000000500865,NUNEZ CAPITAL CASCADE,ap@nunez.com,2024-03-01,2025-12-13,monthly
cus_000000500209,Whitmore Coastal Labs,ap@whitmore.com,2023-09-05,2026-08-14,usage
cus_000000500842,Kestrel Cascade Holdings,ap@kestrel.com,2024-02-23,2026-02-25,annual
cus_000000500182,Eastvale Precision,ap@eastvale.com,2025-06-05,2025-06-05,annual
cus_000000500882,Vantage Pioneer Labs,ap@vantage.com,2024-06-18,2026-01-07,monthly
cus_000000500366,Ravenswood Atlas,ap@ravenswood.com,2026-03-30,,annual
cus_000000500946,Umbra Sable Partners,ap@umbra.com,2025-01-11,2026-08-19,monthly
cus_000000500167,Oakfield Sable Partners,ap@oakfield.com,2023-08-09,2026-07-27,monthly
cus_000000500585,Umbra Pioneer,ap@umbra.com,2024-12-09,2026-08-08,monthly
cus_000000501139,Blackthorn Beacon,ap@blackthorn.com,2024-11-12,2026-07-29,monthly
cus_000000500624,Northgate Atlas,ap@northgate.com,2026-01-05,2026-08-10,monthly
cus_000000500942,COPPERFIELD SUMMIT LLC,ap@copperfield.com,2025-01-19,2026-08-10,monthly
cus_000000500175,Whitmore Analytics LLC,ap@whitmore.com,2025-07-22,2026-07-25,monthly
cus_000000500193,Guimaraes Log Clinical,ap@guimaraes.com,2025-10-12,2026-01-29,monthly
cus_000000500612,Kestrel Pioneer,ap@kestrel.com,2025-06-01,2026-05-29,annual
cus_000000500434,Northwind Summit LLC,ap@northwind.com,2025-06-10,2026-08-03,monthly
cus_000000500285,Andre Freres Pioneer,ap@andre.com,2025-12-18,,annual
cus_000000500869,Copperfield Coastal Corp.,ap@copperfield.com,2024-11-10,2025-11-10,annual
cus_000000500334,OAKFIELD ANCHOR HOLDINGS,ap@oakfield.com,2023-05-24,2026-05-19,annual
cus_000000500522,Zenith Beacon Incorporated,ap@zenith.com,2026-05-30,,monthly
cus_000000500305,Ravenswood Anchor Inc,ap@ravenswood.com,2026-06-23,,annual
cus_000000500436,Vantage Precision Inc.,ap@vantage.com,2024-11-14,2026-07-28,monthly
