invoice_id,customer_ref,invoice_date,amount_usd,status,currency
in_000000001,cus_000000500001,2023-09-01,22644.22,paid,USD
in_000000002,cus_000000500001,2024-08-31,24768.80,paid,USD
in_000000003,cus_000000500002,2022-12-24,3502.44,paid,USD
in_000000004,cus_000000500002,2023-12-23,3783.32,paid,USD
in_000000005,cus_000000500002,2024-12-24,3574.54,paid,USD
in_000000006,cus_000000500002,2025-12-25,3902.61,paid,USD
in_000000007,cus_000000500003,2023-03-03,28532.77,paid,USD
in_000000008,cus_000000500003,2024-03-04,26641.85,paid,USD
in_000000009,cus_000000500003,2025-03-04,28433.07,paid,USD
in_000000010,cus_000000500004,2024-12-07,432.67,paid,USD
in_000000011,cus_000000500004,2025-01-06,441.20,paid,USD
in_000000012,cus_000000500004,2025-02-08,457.28,refunded,USD
in_000000013,cus_000000500004,2025-03-11,475.57,paid,USD
in_000000014,cus_000000500004,2025-04-12,472.74,paid,USD
in_000000015,cus_000000500004,2025-05-11,447.76,paid,USD
in_000000016,cus_000000500004,2025-06-09,454.82,paid,USD
in_000000017,cus_000000500004,2025-07-06,412.98,paid,USD
in_000000018,cus_000000500004,2025-08-08,458.74,paid,USD
in_000000019,cus_000000500004,2025-09-05,477.79,paid,USD
in_000000020,cus_000000500004,2025-10-07,448.97,paid,USD
in_000000021,cus_000000500004,2025-11-03,399.28,paid,USD
in_000000022,cus_000000500004,2025-12-05,418.66,paid,USD
in_000000023,cus_000000500004,2026-01-03,481.40,paid,USD
in_000000024,cus_000000500004,2026-01-31,456.00,void,USD
in_000000025,cus_000000500004,2026-02-27,444.54,paid,USD
in_000000026,cus_000000500004,2026-03-28,417.38,paid,USD
in_000000027,cus_000000500004,2026-04-28,436.62,paid,USD
in_000000028,cus_000000500004,2026-05-29,439.35,paid,USD
in_000000029,cus_000000500004,2026-06-28,432.20,paid,USD
in_000000030,cus_000000500004,2026-07-26,458.27,paid,USD
in_000000031,cus_000000500005,2024-05-18,2373.25,paid,USD
in_000000032,cus_000000500005,2024-06-16,2741.29,paid,USD
in_000000033,cus_000000500005,2024-07-19,2545.20,paid,USD
in_000000034,cus_000000500005,2024-08-15,2289.77,paid,USD
in_000000035,cus_000000500005,2024-09-15,2387.76,paid,USD
in_000000036,cus_000000500005,2024-10-16,2355.56,paid,USD
in_000000037,cus_000000500005,2024-11-14,2372.58,paid,USD
in_000000038,cus_000000500005,2024-12-15,2337.11,paid,USD
in_000000039,cus_000000500005,2025-01-15,2544.97,paid,USD
in_000000040,cus_000000500005,2025-02-14,2588.58,paid,USD
in_000000041,cus_000000500005,2025-03-14,2491.55,paid,USD
in_000000042,cus_000000500005,2025-04-15,2396.14,paid,USD
in_000000043,cus_000000500005,2025-05-17,2613.01,paid,USD
in_000000044,cus_000000500005,2025-06-14,2357.92,paid,USD
in_000000045,cus_000000500005,2025-07-14,2469.99,paid,USD
in_000000046,cus_000000500005,2025-08-15,2395.71,paid,USD
in_000000047,cus_000000500005,2025-09-14,2450.53,paid,USD
in_000000048,cus_000000500005,2025-10-14,2582.50,paid,USD
in_000000049,cus_000000500005,2025-11-10,2488.94,paid,USD
in_000000050,cus_000000500005,2025-12-07,2394.02,paid,USD
in_000000051,cus_000000500005,2026-01-07,2449.48,paid,USD
in_000000052,cus_000000500005,2026-02-08,2408.62,paid,USD
in_000000053,cus_000000500005,2026-03-13,2367.38,paid,USD
in_000000054,cus_000000500005,2026-04-11,2669.76,paid,USD
in_000000055,cus_000000500005,2026-05-14,2728.60,paid,USD
in_000000056,cus_000000500005,2026-06-12,2413.58,paid,USD
in_000000057,cus_000000500005,2026-07-10,2441.00,paid,USD
in_000000058,cus_000000500005,2026-08-07,2665.70,paid,USD
in_000000059,cus_000000500006,2023-10-26,70407.30,paid,USD
in_000000060,cus_000000500006,2024-10-25,60911.13,paid,USD
in_000000061,cus_000000500007,2024-11-26,117694.80,paid,USD
in_000000062,cus_000000500008,2025-02-23,250.25,paid,USD
in_000000063,cus_000000500008,2025-03-25,240.63,paid,USD
in_000000064,cus_000000500008,2025-04-27,244.76,paid,USD
in_000000065,cus_000000500008,2025-05-29,246.40,paid,USD
