month,channel,spend_usd
2022-10,Paid Search,44186.76
2022-10,Paid Social,16769.04
2022-10,Events & Sponsorships,14188.04
2022-10,Content & SEO,11168.96
2022-10,Partner Program,6870.71
2022-10,Outbound SDR,18217.97
2022-11,Paid Search,32043.35
2022-11,Paid Social,20939.63
2022-11,Events & Sponsorships,16230.81
2022-11,Content & SEO,12750.19
2022-11,Partner Program,6697.87
2022-11,Outbound SDR,17652.39
2022-12,Paid Search,21449.14
2022-12,Paid Social,14234.39
2022-12,Events & Sponsorships,8635.12
2022-12,Content & SEO,7142.60
2022-12,Partner Program,5408.65
2022-12,Outbound SDR,13141.18
2023-01,Paid Search,38355.42
2023-01,Paid Social,14530.31
2023-01,Events & Sponsorships,13680.91
2023-01,Content & SEO,12071.36
2023-01,Partner Program,7199.46
2023-01,Outbound SDR,24021.48
2023-02,Paid Search,44779.61
2023-02,Paid Social,25703.14
2023-02,Events & Sponsorships,14521.70
2023-02,Content & SEO,12061.59
2023-02,Partner Program,9613.47
2023-02,Outbound SDR,26767.40
2023-03,Paid Search,44154.98
2023-03,Paid Social,21476.02
2023-03,Events & Sponsorships,16537.79
2023-03,Content & SEO,12021.58
2023-03,Partner Program,10921.97
2023-03,Outbound SDR,21069.04
2023-04,Paid Search,42676.39
2023-04,Paid Social,17996.71
2023-04,Events & Sponsorships,13370.94
2023-04,Content & SEO,14089.95
2023-04,Partner Program,8804.70
2023-04,Outbound SDR,26049.55
2023-05,Paid Search,39213.84
2023-05,Paid Social,23292.63
2023-05,Events & Sponsorships,19276.04
2023-05,Content & SEO,13558.92
2023-05,Partner Program,7831.95
2023-05,Outbound SDR,22345.70
2023-06,Paid Search,33940.96
2023-06,Paid Social,16268.70
2023-06,Events & Sponsorships,14632.63
2023-06,Content & SEO,12439.34
2023-06,Partner Program,8248.23
2023-06,Outbound SDR,22640.26
2023-07,Paid Search,23163.49
2023-07,Paid Social,13802.78
2023-07,Events & Sponsorships,13638.90
2023-07,Content & SEO,10491.84
2023-07,Partner Program,7362.74
2023-07,Outbound SDR,15891.48
2023-08,Paid Search,41356.20
2023-08,Paid Social,17682.24
2023-08,Events & Sponsorships,18816.72
2023-08,Content & SEO,15208.34
2023-08,Partner Program,8870.99
2023-08,Outbound SDR,23106.49
2023-09,Paid Search,35805.94
2023-09,Paid Social,26367.01
2023-09,Events & Sponsorships,17731.80
