contract_type,base_month,base_customers,logo_retention_pct,grr_pct,nrr_pct
annual,2022-11-01,7,100.0,94.1,94.7
annual,2022-12-01,16,93.8,95.7,97.0
annual,2023-01-01,26,92.3,87.5,88.5
annual,2023-02-01,38,92.1,88.9,89.9
annual,2023-03-01,48,93.8,91.6,93.2
annual,2023-04-01,63,93.7,88.4,89.7
annual,2023-05-01,75,90.7,88.7,90.0
annual,2023-06-01,85,91.8,89.0,90.4
annual,2023-07-01,97,91.8,86.1,87.5
annual,2023-08-01,107,93.5,90.0,91.4
annual,2023-09-01,122,93.4,88.2,89.7
annual,2023-10-01,134,94.0,88.7,90.6
annual,2023-11-01,144,93.8,89.0,91.0
annual,2023-12-01,151,94.0,87.5,89.6
annual,2024-01-01,163,94.5,88.4,90.9
annual,2024-02-01,175,92.6,87.2,92.5
annual,2024-03-01,190,91.6,87.3,89.9
annual,2024-04-01,199,91.5,87.6,90.7
annual,2024-05-01,200,91.5,84.9,88.2
annual,2024-06-01,209,91.9,85.4,88.8
annual,2024-07-01,221,91.0,84.0,87.3
annual,2024-08-01,239,88.7,83.8,87.0
annual,2024-09-01,253,89.3,85.8,89.5
annual,2024-10-01,267,87.6,84.1,87.7
annual,2024-11-01,282,85.8,80.8,84.3
annual,2024-12-01,294,85.0,82.2,85.9
annual,2025-01-01,304,83.6,80.7,84.2
annual,2025-02-01,305,83.0,78.0,82.6
annual,2025-03-01,313,81.2,78.0,81.6
annual,2025-04-01,320,81.3,76.8,79.9
annual,2025-05-01,329,80.5,78.6,82.0
annual,2025-06-01,343,78.1,77.6,80.5
annual,2025-07-01,350,75.7,75.5,78.4
monthly,2022-10-01,2,100.0,99.3,101.8
monthly,2022-11-01,9,88.9,87.8,89.0
monthly,2022-12-01,15,100.0,80.4,83.1
monthly,2023-01-01,26,88.5,91.8,103.2
monthly,2023-02-01,32,93.8,92.2,96.3
monthly,2023-03-01,47,97.9,86.3,88.9
monthly,2023-04-01,52,90.4,77.4,80.5
monthly,2023-05-01,65,96.9,95.6,103.6
monthly,2023-06-01,77,84.4,83.7,93.3
monthly,2023-07-01,84,90.5,88.6,91.6
monthly,2023-08-01,100,95.0,89.7,95.3
monthly,2023-09-01,105,83.8,84.5,89.2
monthly,2023-10-01,114,89.5,84.9,93.2
monthly,2023-11-01,114,89.5,78.2,83.0
monthly,2023-12-01,132,88.6,77.8,87.0
monthly,2024-01-01,138,86.2,78.0,85.1
monthly,2024-02-01,143,78.3,76.1,79.3
monthly,2024-03-01,156,86.5,79.0,82.0
monthly,2024-04-01,161,83.9,75.5,82.1
monthly,2024-05-01,189,85.2,74.5,76.8
monthly,2024-06-01,184,83.2,81.4,90.6
monthly,2024-07-01,203,82.3,75.9,79.4
monthly,2024-08-01,220,82.7,78.8,86.7
monthly,2024-09-01,225,80.0,76.7,79.6
monthly,2024-10-01,241,82.2,75.9,86.0
monthly,2024-11-01,255,78.0,82.7,86.5
monthly,2024-12-01,263,77.6,82.1,87.4
monthly,2025-01-01,278,77.7,78.6,84.5
monthly,2025-02-01,255,76.1,76.0,80.3
monthly,2025-03-01,282,74.1,71.3,78.2
monthly,2025-04-01,269,72.5,63.0,66.3
monthly,2025-05-01,300,69.0,68.1,74.2
monthly,2025-06-01,302,63.9,54.7,57.3
monthly,2025-07-01,311,66.6,60.8,65.9
usage,2022-10-01,2,100.0,100.0,109.9
usage,2022-11-01,1,100.0,100.0,117.7
usage,2022-12-01,2,50.0,49.7,49.7
usage,2023-01-01,7,85.7,94.8,97.8
usage,2023-02-01,7,100.0,99.4,105.1
usage,2023-03-01,10,90.0,67.9,68.7
usage,2023-04-01,14,85.7,96.4,103.3
usage,2023-05-01,14,100.0,95.0,98.6
usage,2023-06-01,15,80.0,94.5,104.8
usage,2023-07-01,15,93.3,64.7,65.7
usage,2023-08-01,19,100.0,93.5,95.6
usage,2023-09-01,22,86.4,77.8,78.7
usage,2023-10-01,25,96.0,90.2,93.4
usage,2023-11-01,25,88.0,91.9,94.2
usage,2023-12-01,27,92.6,90.5,91.7
usage,2024-01-01,32,90.6,94.3,116.0
usage,2024-02-01,31,74.2,74.5,83.4
usage,2024-03-01,35,77.1,77.9,89.0
usage,2024-04-01,33,81.8,83.1,86.1
usage,2024-05-01,42,90.5,90.0,101.3
usage,2024-06-01,33,63.6,64.9,67.3
usage,2024-07-01,40,92.5,94.6,99.5
usage,2024-08-01,45,88.9,86.1,94.3
usage,2024-09-01,46,87.0,82.4,88.8
usage,2024-10-01,50,84.0,91.3,94.6
usage,2024-11-01,49,83.7,92.0,101.8
usage,2024-12-01,55,87.3,87.9,91.8
usage,2025-01-01,56,87.5,69.2,77.8
usage,2025-02-01,55,74.5,65.7,68.0
usage,2025-03-01,60,75.0,63.3,65.0
usage,2025-04-01,60,66.7,58.8,63.5
usage,2025-05-01,66,77.3,67.8,77.2
usage,2025-06-01,64,70.3,64.2,69.6
usage,2025-07-01,72,63.9,53.4,59.1
