month,paying_customers,revenue,new_rev,retained_rev,expansion_rev,contraction_rev,resurrected_rev,churned_rev,quick_ratio
2022-10-01,4,2884.0,2884.0,,,,,,
2022-11-01,17,287203.0,284575.0,2547.0,82.0,-67.0,,-271.0,842.93
2022-12-01,26,364785.0,342827.0,15488.0,6151.0,-777.0,319.0,-270939.0,1.29
2023-01-01,43,342168.0,315789.0,25462.0,275.0,-6256.0,641.0,-333067.0,0.93
2023-02-01,51,412891.0,370300.0,40767.0,1823.0,-2249.0,,-299151.0,1.23
2023-03-01,67,575150.0,494971.0,62199.0,4988.0,-2352.0,12992.0,-348340.0,1.46
2023-04-01,81,549970.0,445231.0,89996.0,3088.0,-11538.0,11656.0,-473617.0,0.95
2023-05-01,91,583213.0,458002.0,117538.0,5040.0,-3789.0,2634.0,-428644.0,1.08
2023-06-01,102,246791.0,103855.0,131802.0,6801.0,-4101.0,4333.0,-447310.0,0.25
2023-07-01,111,481742.0,304363.0,135043.0,7561.0,-4136.0,34775.0,-107613.0,3.1
2023-08-01,129,514218.0,308887.0,179714.0,9732.0,-24309.0,15885.0,-277719.0,1.11
2023-09-01,142,535947.0,313819.0,202107.0,8783.0,-12186.0,11238.0,-299925.0,1.07
2023-10-01,151,703903.0,456983.0,213643.0,18355.0,-10952.0,14923.0,-311353.0,1.52
2023-11-01,156,752412.0,248536.0,214745.0,7522.0,-17337.0,281609.0,-471821.0,1.1
2023-12-01,175,1058214.0,445057.0,247768.0,18527.0,-16337.0,346861.0,-488306.0,1.61
2024-01-01,193,844400.0,321808.0,278597.0,20409.0,-23478.0,223585.0,-756139.0,0.73
2024-02-01,198,732731.0,87006.0,290443.0,9755.0,-20865.0,345527.0,-533092.0,0.8
2024-03-01,215,1428286.0,606817.0,285683.0,19428.0,-9437.0,516358.0,-437611.0,2.56
2024-04-01,220,1035885.0,325392.0,280373.0,14316.0,-14009.0,415804.0,-1133904.0,0.66
2024-05-01,243,993571.0,178039.0,348897.0,17816.0,-20020.0,448819.0,-666967.0,0.94
2024-06-01,235,684079.0,159541.0,409966.0,25482.0,-29088.0,89090.0,-554517.0,0.47
2024-07-01,269,1047539.0,351475.0,422169.0,22656.0,-28250.0,251239.0,-233659.0,2.39
2024-08-01,292,1266090.0,356139.0,473116.0,35348.0,-27238.0,401488.0,-547184.0,1.38
2024-09-01,299,1166830.0,456200.0,481079.0,25856.0,-24728.0,203695.0,-760284.0,0.87
2024-10-01,317,1267507.0,231925.0,492369.0,29262.0,-20335.0,513951.0,-654126.0,1.15
2024-11-01,336,1628265.0,581756.0,526259.0,27992.0,-25636.0,492258.0,-715612.0,1.49
2024-12-01,348,1700799.0,406349.0,540703.0,19393.0,-32700.0,734353.0,-1054862.0,1.07
2025-01-01,366,1416924.0,234591.0,585582.0,66955.0,-41292.0,529796.0,-1073924.0,0.75
2025-02-01,335,1189219.0,118073.0,586396.0,21236.0,-37653.0,463513.0,-792874.0,0.73
2025-03-01,374,1716857.0,157674.0,569535.0,25361.0,-25175.0,964287.0,-594508.0,1.85
2025-04-01,361,1538793.0,191262.0,537869.0,27306.0,-40703.0,782357.0,-1138285.0,0.85
2025-05-01,388,1274650.0,238374.0,569074.0,37054.0,-33047.0,430148.0,-936672.0,0.73
2025-06-01,398,1368170.0,425243.0,644402.0,47810.0,-34900.0,250715.0,-595349.0,1.15
2025-07-01,415,1563682.0,382723.0,638114.0,28906.0,-42839.0,513938.0,-687218.0,1.27
2025-08-01,433,1648617.0,195568.0,710844.0,81319.0,-31489.0,660886.0,-821349.0,1.1
2025-09-01,432,1697993.0,194509.0,698165.0,27422.0,-58355.0,777897.0,-892098.0,1.05
2025-10-01,439,1714010.0,314097.0,728698.0,48473.0,-40258.0,622743.0,-929037.0,1.02
2025-11-01,449,2086104.0,545048.0,763122.0,53569.0,-60250.0,724366.0,-890638.0,1.39
2025-12-01,454,2615780.0,590486.0,742576.0,47572.0,-45338.0,1235146.0,-1298190.0,1.39
2026-01-01,438,1548866.0,153778.0,729283.0,58567.0,-39988.0,607237.0,-1846508.0,0.43
2026-02-01,417,1425367.0,188641.0,666405.0,30530.0,-24106.0,539791.0,-858355.0,0.86
2026-03-01,425,1546063.0,37137.0,655116.0,28715.0,-29406.0,825095.0,-740845.0,1.16
2026-04-01,417,1713815.0,245318.0,655944.0,21268.0,-43937.0,791284.0,-846182.0,1.19
2026-05-01,409,1474063.0,94886.0,720944.0,58638.0,-26245.0,599595.0,-966626.0,0.76
2026-06-01,382,1150072.0,31891.0,650538.0,26485.0,-30545.0,441158.0,-792980.0,0.61
2026-07-01,390,1157639.0,21827.0,597159.0,42872.0,-24222.0,495781.0,-528691.0,1.01
2026-08-01,274,1069465.0,76742.0,468394.0,15362.0,-15114.0,508966.0,-674131.0,0.87
