month,paying_customers,revenue,new_rev,retained_rev,expansion_rev,contraction_rev,resurrected_rev,churned_rev,quick_ratio
2022-10-01,4,2884.0,2884.0,,,,,,
2022-11-01,17,39483.0,36854.0,2547.0,82.0,-67.0,,-271.0,109.38
2022-12-01,33,81994.0,37516.0,38008.0,6151.0,-777.0,319.0,-698.0,29.82
2023-01-01,59,135291.0,58637.0,75738.0,275.0,-6256.0,641.0,,9.52
2023-02-01,77,168306.0,52062.0,114421.0,1823.0,-2249.0,,-18621.0,2.58
2023-03-01,105,245285.0,62522.0,164783.0,4988.0,-2352.0,12992.0,-1172.0,22.85
2023-04-01,129,303664.0,57028.0,231893.0,3088.0,-11538.0,11656.0,-1854.0,5.36
2023-05-01,154,366743.0,64342.0,294726.0,5040.0,-3789.0,2634.0,-5149.0,8.06
2023-06-01,177,375442.0,19530.0,344778.0,6801.0,-4101.0,4333.0,-17864.0,1.4
2023-07-01,196,457992.0,59971.0,355684.0,7561.0,-4136.0,34775.0,-15622.0,5.18
2023-08-01,226,495698.0,47508.0,422573.0,9732.0,-24309.0,15885.0,-11110.0,2.06
2023-09-01,249,534114.0,45364.0,468728.0,8783.0,-12186.0,11238.0,-14784.0,2.42
2023-10-01,273,580197.0,42251.0,504669.0,18355.0,-10952.0,14923.0,-18493.0,2.57
2023-11-01,283,632422.0,56861.0,542140.0,7656.0,-18671.0,25765.0,-19387.0,2.37
2023-12-01,310,699799.0,71145.0,591874.0,19048.0,-16865.0,17733.0,-23683.0,2.66
2024-01-01,333,751586.0,57969.0,650170.0,20823.0,-25290.0,22623.0,-24340.0,2.04
2024-02-01,349,734537.0,18983.0,683924.0,10336.0,-22557.0,21295.0,-45105.0,0.75
2024-03-01,381,829181.0,83547.0,685192.0,20556.0,-10173.0,39885.0,-39172.0,2.92
2024-04-01,393,851053.0,70006.0,719989.0,18741.0,-15488.0,42317.0,-93704.0,1.2
2024-05-01,431,970870.0,49777.0,808634.0,19177.0,-25595.0,93282.0,-16824.0,3.82
2024-06-01,426,960385.0,41899.0,881370.0,25638.0,-30443.0,11478.0,-59057.0,0.88
2024-07-01,464,1044188.0,59162.0,894950.0,25464.0,-28441.0,64612.0,-36993.0,2.28
2024-08-01,504,1110864.0,61604.0,971269.0,37905.0,-31249.0,40086.0,-41670.0,1.91
2024-09-01,524,1128088.0,72068.0,1007599.0,26046.0,-26887.0,22376.0,-76378.0,1.17
2024-10-01,558,1203118.0,49183.0,1051381.0,31048.0,-22953.0,71506.0,-53754.0,1.98
2024-11-01,586,1241230.0,68539.0,1101248.0,28843.0,-27391.0,42600.0,-74478.0,1.37
2024-12-01,612,1313681.0,50747.0,1152998.0,22014.0,-33027.0,87922.0,-55205.0,1.82
2025-01-01,638,1389810.0,63059.0,1227060.0,69550.0,-42400.0,30140.0,-44221.0,1.88
2025-02-01,615,1333856.0,32910.0,1242754.0,32713.0,-39551.0,25479.0,-107505.0,0.62
2025-03-01,655,1385451.0,37961.0,1223352.0,27706.0,-38282.0,96432.0,-72222.0,1.47
2025-04-01,649,1346300.0,28537.0,1201988.0,30830.0,-41210.0,84945.0,-142253.0,0.79
2025-05-01,695,1464386.0,55997.0,1239776.0,38748.0,-33313.0,129866.0,-73211.0,2.11
2025-06-01,709,1474022.0,50402.0,1335703.0,48732.0,-35357.0,39186.0,-93327.0,1.07
2025-07-01,733,1574443.0,83537.0,1355457.0,29757.0,-44198.0,105692.0,-74368.0,1.85
2025-08-01,756,1643633.0,52011.0,1447538.0,82344.0,-33254.0,61740.0,-93652.0,1.55
2025-09-01,758,1588013.0,26569.0,1444537.0,31223.0,-59100.0,85685.0,-139996.0,0.72
2025-10-01,775,1713349.0,41437.0,1488596.0,50347.0,-41323.0,132970.0,-58094.0,2.26
2025-11-01,778,1677083.0,51592.0,1517231.0,55495.0,-62109.0,52766.0,-134009.0,0.82
2025-12-01,797,1765591.0,70739.0,1531024.0,51762.0,-47901.0,112066.0,-98158.0,1.61
2026-01-01,789,1734245.0,34315.0,1570647.0,59222.0,-41760.0,70061.0,-153183.0,0.84
2026-02-01,777,1643860.0,35088.0,1510921.0,39090.0,-25112.0,58760.0,-198211.0,0.6
2026-03-01,782,1672944.0,32693.0,1495293.0,31723.0,-40184.0,113234.0,-108383.0,1.2
2026-04-01,769,1630250.0,30220.0,1480045.0,25204.0,-49461.0,94782.0,-143438.0,0.78
2026-05-01,773,1717102.0,20900.0,1558787.0,62693.0,-29715.0,74723.0,-41748.0,2.22
2026-06-01,738,1556711.0,14412.0,1490489.0,27087.0,-34730.0,24722.0,-191882.0,0.29
2026-07-01,734,1558424.0,13198.0,1410192.0,44228.0,-25588.0,90807.0,-120931.0,1.01
2026-08-01,612,1355006.0,6661.0,1254260.0,16144.0,-16916.0,77940.0,-287249.0,0.33
