contract_type,month,seats,new_seats,retained_seats,expansion_seats,contraction_seats,resurrected_seats,churned_seats,quick_ratio
(unmatched),2025-07-01,3073.0,3073.0,,,,,,
(unmatched),2025-08-01,3518.0,294.0,2921.0,303.0,-120.0,,-32.0,3.93
(unmatched),2025-09-01,3445.0,17.0,3244.0,179.0,-217.0,5.0,-57.0,0.73
(unmatched),2025-10-01,3445.0,17.0,3195.0,233.0,-250.0,,,1.0
(unmatched),2025-11-01,3488.0,,3231.0,238.0,-185.0,19.0,-29.0,1.2
(unmatched),2025-12-01,3465.0,,3229.0,236.0,-184.0,,-75.0,0.91
(unmatched),2026-01-01,3364.0,,3165.0,180.0,-225.0,19.0,-75.0,0.66
(unmatched),2026-02-01,3219.0,,2978.0,162.0,-237.0,79.0,-149.0,0.62
(unmatched),2026-03-01,3337.0,,3027.0,261.0,-73.0,49.0,-119.0,1.61
(unmatched),2026-04-01,3128.0,,2946.0,147.0,-157.0,35.0,-234.0,0.47
(unmatched),2026-05-01,3128.0,,2934.0,113.0,-102.0,81.0,-92.0,1.0
(unmatched),2026-06-01,2916.0,,2836.0,73.0,-155.0,7.0,-137.0,0.27
(unmatched),2026-07-01,2887.0,,2783.0,104.0,-73.0,,-60.0,0.78
(unmatched),2026-08-01,2720.0,,2661.0,59.0,-214.0,,-12.0,0.26
annual,2025-07-01,13190.0,13190.0,,,,,,
annual,2025-08-01,15046.0,1162.0,12360.0,1524.0,-671.0,,-159.0,3.24
annual,2025-09-01,14855.0,84.0,13720.0,983.0,-866.0,68.0,-460.0,0.86
annual,2025-10-01,14647.0,,13591.0,803.0,-805.0,253.0,-459.0,0.84
annual,2025-11-01,14524.0,,13413.0,803.0,-859.0,308.0,-375.0,0.9
annual,2025-12-01,14351.0,,13210.0,691.0,-878.0,450.0,-436.0,0.87
annual,2026-01-01,14635.0,,13420.0,973.0,-735.0,242.0,-196.0,1.31
annual,2026-02-01,14099.0,,13221.0,728.0,-870.0,150.0,-544.0,0.62
annual,2026-03-01,13869.0,,12874.0,744.0,-709.0,251.0,-516.0,0.81
annual,2026-04-01,13725.0,,12873.0,682.0,-587.0,170.0,-409.0,0.86
annual,2026-05-01,13054.0,,12415.0,478.0,-722.0,161.0,-588.0,0.49
annual,2026-06-01,12259.0,,11762.0,396.0,-517.0,101.0,-775.0,0.38
annual,2026-07-01,12027.0,,11610.0,417.0,-410.0,,-239.0,0.64
annual,2026-08-01,11456.0,,11184.0,272.0,-636.0,,-207.0,0.32
monthly,2025-07-01,13027.0,13027.0,,,,,,
monthly,2025-08-01,15030.0,1197.0,12214.0,1619.0,-585.0,,-228.0,3.46
monthly,2025-09-01,14375.0,63.0,13459.0,734.0,-930.0,119.0,-641.0,0.58
monthly,2025-10-01,14504.0,34.0,13285.0,912.0,-774.0,273.0,-316.0,1.12
monthly,2025-11-01,14370.0,,13447.0,704.0,-771.0,219.0,-286.0,0.87
monthly,2025-12-01,14250.0,,13205.0,804.0,-776.0,241.0,-389.0,0.9
monthly,2026-01-01,13928.0,,13021.0,704.0,-771.0,203.0,-458.0,0.74
monthly,2026-02-01,13469.0,,12590.0,641.0,-972.0,238.0,-366.0,0.66
monthly,2026-03-01,13815.0,,12573.0,919.0,-551.0,323.0,-345.0,1.39
monthly,2026-04-01,13599.0,,12624.0,587.0,-831.0,388.0,-360.0,0.82
monthly,2026-05-01,13163.0,,12294.0,658.0,-499.0,211.0,-806.0,0.67
monthly,2026-06-01,12242.0,,11787.0,354.0,-615.0,101.0,-761.0,0.33
monthly,2026-07-01,11963.0,,11490.0,473.0,-393.0,,-359.0,0.63
monthly,2026-08-01,11366.0,,11090.0,276.0,-663.0,,-210.0,0.32
usage,2025-07-01,2854.0,2854.0,,,,,,
usage,2025-08-01,3341.0,274.0,2762.0,305.0,-92.0,,,6.29
usage,2025-09-01,3170.0,36.0,2941.0,193.0,-189.0,,-211.0,0.57
usage,2025-10-01,3102.0,,2922.0,124.0,-137.0,56.0,-111.0,0.73
usage,2025-11-01,3070.0,,2923.0,98.0,-148.0,49.0,-31.0,0.82
usage,2025-12-01,2988.0,,2847.0,141.0,-140.0,,-83.0,0.63
usage,2026-01-01,3094.0,,2793.0,153.0,-150.0,148.0,-45.0,1.54
usage,2026-02-01,3019.0,,2855.0,131.0,-186.0,33.0,-53.0,0.69
usage,2026-03-01,3000.0,,2820.0,140.0,-173.0,40.0,-26.0,0.9
usage,2026-04-01,2887.0,,2712.0,151.0,-116.0,24.0,-172.0,0.61
usage,2026-05-01,2940.0,,2711.0,140.0,-109.0,89.0,-67.0,1.3
usage,2026-06-01,2710.0,,2640.0,70.0,-98.0,,-202.0,0.23
usage,2026-07-01,2679.0,,2591.0,88.0,-119.0,,,0.74
usage,2026-08-01,2561.0,,2473.0,88.0,-136.0,,-70.0,0.43
