month,seats,new_seats,retained_seats,expansion_seats,contraction_seats,resurrected_seats,churned_seats,quick_ratio
2025-07-01,32144.0,32144.0,,,,,,
2025-08-01,36935.0,2927.0,30257.0,3751.0,-1468.0,,-419.0,3.54
2025-09-01,35845.0,200.0,33364.0,2089.0,-2202.0,192.0,-1369.0,0.69
2025-10-01,35698.0,51.0,32993.0,2072.0,-1966.0,582.0,-886.0,0.95
2025-11-01,35452.0,,33014.0,1843.0,-1963.0,595.0,-721.0,0.91
2025-12-01,35054.0,,32491.0,1872.0,-1978.0,691.0,-983.0,0.87
2026-01-01,35021.0,,32399.0,2010.0,-1881.0,612.0,-774.0,0.99
2026-02-01,33806.0,,31644.0,1662.0,-2265.0,500.0,-1112.0,0.64
2026-03-01,34021.0,,31294.0,2064.0,-1506.0,663.0,-1006.0,1.09
2026-04-01,33339.0,,31155.0,1567.0,-1691.0,617.0,-1175.0,0.76
2026-05-01,32285.0,,30354.0,1389.0,-1432.0,542.0,-1553.0,0.65
2026-06-01,30127.0,,29025.0,893.0,-1385.0,209.0,-1875.0,0.34
2026-07-01,29556.0,,28474.0,1082.0,-995.0,,-658.0,0.65
2026-08-01,28103.0,,27408.0,695.0,-1649.0,,-499.0,0.32
