cohort_q,m00,m01,m03,m06,m12,m18,m24,m36
2022-10-01,100.0,94.1,97.1,97.1,94.1,94.1,85.3,76.5
2023-01-01,100.0,95.9,97.3,97.3,94.6,89.2,81.1,71.6
2023-04-01,100.0,93.2,91.8,95.9,93.2,90.4,78.1,53.4
2023-07-01,100.0,96.2,94.9,96.2,93.7,94.9,87.3,69.6
2023-10-01,100.0,93.9,95.5,95.5,89.4,93.9,81.8,
2024-01-01,100.0,93.2,97.3,97.3,84.9,87.7,69.9,
2024-04-01,100.0,95.3,96.9,93.8,90.6,85.9,68.8,
2024-07-01,100.0,96.0,95.0,97.0,88.1,86.1,64.3,
2024-10-01,100.0,92.0,94.3,90.8,75.9,71.3,,
2025-01-01,100.0,94.0,86.6,95.5,79.1,85.7,,
2025-04-01,100.0,95.1,90.1,97.5,79.0,,,
2025-07-01,100.0,88.6,91.4,84.3,65.4,,,
2025-10-01,100.0,95.5,91.0,91.0,,,,
2026-01-01,100.0,97.9,93.6,100.0,,,,
2026-04-01,100.0,86.8,100.0,,,,,
2026-07-01,100.0,,,,,,,
