quarter,spend_lagged_1m,new_billing,new_crm_rows,cac_per_billing_customer,cac_per_crm_account,gap_pct
2022-10-01,217716.0,30.0,49.0,7257.0,4443.0,-38.8
2023-01-01,313317.0,74.0,79.0,4234.0,3966.0,-6.3
2023-04-01,374689.0,73.0,82.0,5133.0,4569.0,-11.0
2023-07-01,317562.0,79.0,89.0,4020.0,3568.0,-11.2
2023-10-01,402418.0,66.0,78.0,6097.0,5159.0,-15.4
2024-01-01,384650.0,73.0,77.0,5269.0,4995.0,-5.2
2024-04-01,447451.0,64.0,72.0,6991.0,6215.0,-11.1
2024-07-01,402731.0,101.0,98.0,3987.0,4109.0,3.1
2024-10-01,504214.0,87.0,88.0,5796.0,5730.0,-1.1
2025-01-01,441856.0,67.0,67.0,6595.0,6595.0,0.0
2025-04-01,503981.0,81.0,93.0,6222.0,5419.0,-12.9
2025-07-01,445792.0,70.0,81.0,6368.0,5504.0,-13.6
2025-10-01,546766.0,67.0,81.0,8161.0,6750.0,-17.3
2026-01-01,504385.0,47.0,79.0,10732.0,6385.0,-40.5
2026-04-01,574169.0,38.0,69.0,15110.0,8321.0,-44.9
