billing_name,crm_companies_sharing_the_stem,candidates
Garcia Sistemas,8,García Sistemas Atlas | García Sistemas Beacon | García Sistemas Foundry | García Sistemas Freight | García Sistemas Keystone | García Sistemas Pioneer | García Sistemas Sterling | García Sistemas Summit
Perez Group,8,Pérez Group Anchor | Pérez Group Cascade | Pérez Group Cascade II | Pérez Group Foundry | Pérez Group Lumen | Pérez Group Onyx | Pérez Group Sable | Pérez Group Supply
Ferreira Servicos,8,Ferreira Serviços Coastal | Ferreira Serviços Compass | Ferreira Serviços Foundry | Ferreira Serviços Pioneer | Ferreira Serviços Summit | Ferreira Serviços Supply | Ferreira Serviços Vector | Ferreira Serviços Vector II
Sao Bento,8,São Bento Anchor | São Bento Atlas | São Bento Beacon | São Bento Coastal | São Bento Compass | São Bento Precision | São Bento Supply | São Bento Vector
Hernandez Retail,8,Hernández Retail Atlas | Hernández Retail Beacon | Hernández Retail Digital | Hernández Retail Keystone | Hernández Retail Nimbus | Hernández Retail Onyx | Hernández Retail Sterling | Hernández Retail Vector
Guimaraes Log,6,Guimarães Log Digital | Guimarães Log Onyx | Guimarães Log Sterling | Guimarães Log Sterling II | Guimarães Log Supply | Guimarães Log Trading
Yarrow Nimbus,4,Yarrow Nimbus Corp | Yarrow Nimbus Group | Yarrow Nimbus LLC | Yarrow Nimbus Labs
Meridian Summit,4,Meridian Summit Holdings | Meridian Summit Inc | Meridian Summit Partners | Meridian Summit Systems
Copperfield Precision,4,Copperfield Precision Corp | Copperfield Precision Inc | Copperfield Precision Labs | Copperfield Precision Partners
Stonebridge Nimbus,4,Stonebridge Nimbus Corp | Stonebridge Nimbus Inc | Stonebridge Nimbus LLC | Stonebridge Nimbus Partners
Copperfield Nimbus,4,Copperfield Nimbus Corp | Copperfield Nimbus Group | Copperfield Nimbus Partners | Copperfield Nimbus Systems
Dunmore Cascade,3,Dunmore Cascade Holdings | Dunmore Cascade LLC | Dunmore Cascade Partners
