org_slug,event_date,active_users,sessions
munoz-holdings-foundry,2026-08-20,7,47
munoz-holdings-foundry,2026-08-19,34,112
munoz-holdings-foundry,2026-08-16,20,63
munoz-holdings-foundry,2026-08-13,6,114
munoz-holdings-foundry,2026-08-11,22,55
munoz-holdings-foundry,2026-08-10,35,39
munoz-holdings-foundry,2026-08-07,18,70
munoz-holdings-foundry,2026-08-06,25,24
munoz-holdings-foundry,2026-08-04,27,14
munoz-holdings-foundry,2026-08-03,18,49
munoz-holdings-foundry,2026-08-01,39,113
munoz-holdings-foundry,2026-07-31,18,19
munoz-holdings-foundry,2026-07-27,11,6
munoz-holdings-foundry,2026-07-26,12,103
munoz-holdings-foundry,2026-07-23,26,39
munoz-holdings-foundry,2026-07-22,20,6
munoz-holdings-foundry,2026-07-21,36,115
munoz-holdings-foundry,2026-07-20,10,22
munoz-holdings-foundry,2026-07-16,15,98
munoz-holdings-foundry,2026-07-14,38,115
munoz-holdings-foundry,2026-07-13,25,25
munoz-holdings-foundry,2026-07-12,40,80
munoz-holdings-foundry,2026-07-08,3,35
munoz-holdings-foundry,2026-07-06,9,85
munoz-holdings-foundry,2026-07-05,40,102
munoz-holdings-foundry,2026-07-04,33,67
munoz-holdings-foundry,2026-07-03,30,15
munoz-holdings-foundry,2026-07-02,25,16
munoz-holdings-foundry,2026-06-30,18,5
munoz-holdings-foundry,2026-06-27,15,102
munoz-holdings-foundry,2026-06-26,2,32
munoz-holdings-foundry,2026-06-25,39,55
munoz-holdings-foundry,2026-06-24,24,83
munoz-holdings-foundry,2026-06-23,20,61
munoz-holdings-foundry,2026-06-20,19,89
munoz-holdings-foundry,2026-06-19,25,55
munoz-holdings-foundry,2026-06-18,15,64
munoz-holdings-foundry,2026-06-17,21,47
munoz-holdings-foundry,2026-06-16,38,21
munoz-holdings-foundry,2026-06-14,8,74
munoz-holdings-foundry,2026-06-13,5,44
munoz-holdings-foundry,2026-06-12,40,83
munoz-holdings-foundry,2026-06-07,7,114
munoz-holdings-foundry,2026-06-06,19,53
munoz-holdings-foundry,2026-06-05,32,16
munoz-holdings-foundry,2026-06-04,11,39
munoz-holdings-foundry,2026-06-03,28,87
munoz-holdings-foundry,2026-06-02,38,55
munoz-holdings-foundry,2026-06-01,13,15
munoz-holdings-foundry,2026-05-30,13,54
munoz-holdings-foundry,2026-05-29,8,52
munoz-holdings-foundry,2026-05-27,36,67
munoz-holdings-foundry,2026-05-26,23,71
munoz-holdings-foundry,2026-05-25,36,88
munoz-holdings-foundry,2026-05-22,3,90
munoz-holdings-foundry,2026-05-21,14,42
munoz-holdings-foundry,2026-05-19,23,84
munoz-holdings-foundry,2026-05-18,40,72
munoz-holdings-foundry,2026-05-15,28,21
munoz-holdings-foundry,2026-05-13,12,70
munoz-holdings-foundry,2026-05-12,18,97
munoz-holdings-foundry,2026-05-10,26,111
munoz-holdings-foundry,2026-05-09,19,46
munoz-holdings-foundry,2026-05-07,4,67
munoz-holdings-foundry,2026-05-06,22,80
munoz-holdings-foundry,2026-05-05,33,44
munoz-holdings-foundry,2026-05-04,37,64
munoz-holdings-foundry,2026-04-30,17,87
munoz-holdings-foundry,2026-04-29,34,13
munoz-holdings-foundry,2026-04-28,32,72
munoz-holdings-foundry,2026-04-27,3,106
munoz-holdings-foundry,2026-04-25,36,35
munoz-holdings-foundry,2026-04-23,39,45
munoz-holdings-foundry,2026-04-21,5,67
munoz-holdings-foundry,2026-04-18,19,80
munoz-holdings-foundry,2026-04-15,30,69
munoz-holdings-foundry,2026-04-13,17,61
munoz-holdings-foundry,2026-04-12,36,85
munoz-holdings-foundry,2026-04-11,27,68
munoz-holdings-foundry,2026-04-10,4,68
munoz-holdings-foundry,2026-04-09,20,59
munoz-holdings-foundry,2026-04-08,7,7
munoz-holdings-foundry,2026-04-07,17,3
munoz-holdings-foundry,2026-04-04,9,7
munoz-holdings-foundry,2026-03-31,27,120
munoz-holdings-foundry,2026-03-30,22,62
munoz-holdings-foundry,2026-03-29,29,12
munoz-holdings-foundry,2026-03-28,5,68
munoz-holdings-foundry,2026-03-25,10,111
munoz-holdings-foundry,2026-03-24,37,110
munoz-holdings-foundry,2026-03-23,14,74
munoz-holdings-foundry,2026-03-22,19,69
munoz-holdings-foundry,2026-03-18,19,105
munoz-holdings-foundry,2026-03-16,37,46
munoz-holdings-foundry,2026-03-14,7,99
munoz-holdings-foundry,2026-03-12,3,114
munoz-holdings-foundry,2026-03-11,10,78
munoz-holdings-foundry,2026-03-10,26,42
munoz-holdings-foundry,2026-03-09,19,66
munoz-holdings-foundry,2026-03-06,23,65
munoz-holdings-foundry,2026-03-03,30,56
munoz-holdings-foundry,2026-03-01,2,48
munoz-holdings-foundry,2026-02-28,7,76
munoz-holdings-foundry,2026-02-26,33,12
munoz-holdings-foundry,2026-02-24,20,63
munoz-holdings-foundry,2026-02-21,16,9
munoz-holdings-foundry,2026-02-20,16,91
munoz-holdings-foundry,2026-02-19,10,64
munoz-holdings-foundry,2026-02-17,7,46
munoz-holdings-foundry,2026-02-15,28,10
munoz-holdings-foundry,2026-02-13,20,28
munoz-holdings-foundry,2026-02-12,20,18
munoz-holdings-foundry,2026-02-11,33,118
munoz-holdings-foundry,2026-02-10,5,65
munoz-holdings-foundry,2026-02-09,28,4
munoz-holdings-foundry,2026-02-08,2,17
munoz-holdings-foundry,2026-02-05,14,50
munoz-holdings-foundry,2026-02-04,16,76
munoz-holdings-foundry,2026-02-03,26,108
munoz-holdings-foundry,2026-02-01,27,8
munoz-holdings-foundry,2026-01-29,32,20
munoz-holdings-foundry,2026-01-28,4,36
munoz-holdings-foundry,2026-01-27,34,38
munoz-holdings-foundry,2026-01-25,30,113
munoz-holdings-foundry,2026-01-24,37,77
munoz-holdings-foundry,2026-01-23,22,24
munoz-holdings-foundry,2026-01-21,31,49
munoz-holdings-foundry,2026-01-20,34,85
munoz-holdings-foundry,2026-01-18,13,79
munoz-holdings-foundry,2026-01-14,15,120
munoz-holdings-foundry,2026-01-13,27,69
munoz-holdings-foundry,2026-01-10,36,38
munoz-holdings-foundry,2026-01-09,29,70
