book,closed,customer,original_contract_date,acv_at_close_usd,contract_type_at_close
Northgate,2024-02-29,Meridian Coastal Group,2020-02-14,27784,monthly
Northgate,2024-02-29,EASTVALE ANALYTICS GROUP,2022-10-16,27217,usage
Northgate,2024-02-29,SILVERLINE CASCADE PARTNERS,2020-04-30,70214,monthly
Northgate,2024-02-29,Quarry Quantum Partners,2020-08-24,6901,monthly
Northgate,2024-02-29,Whitmore Sable Inc,2022-03-24,4984,usage
Northgate,2024-02-29,Dunmore Vector Inc,2020-07-15,10286,annual
Northgate,2024-02-29,Lopez y Asociados Digital,2023-02-01,49349,annual
Northgate,2024-02-29,Sao Bento Nimbus,2021-03-05,55305,monthly
Northgate,2024-02-29,Nunez Capital Sterling,2020-10-20,6627,monthly
Northgate,2024-02-29,PEREZ GROUP SUPPLY,2022-05-29,5521,monthly
Northgate,2024-02-29,Hernandez Retail Anchor,2021-10-23,22671,annual
Northgate,2024-02-29,Vásquez Media Atlas,2023-07-01,22470,monthly
Northgate,2024-02-29,Guimaraes Log Quantum,2019-09-13,53082,monthly
Northgate,2024-02-29,FERREIRA SERVIÇOS VECTOR,2023-07-24,7571,usage
Northgate,2024-02-29,Verdigris Supply LLC,2021-07-03,22296,monthly
Northgate,2024-02-29,Larkspur Nimbus Group,2023-04-07,32301,annual
Northgate,2024-02-29,MERIDIAN STERLING LABS,2020-04-17,16878,monthly
Northgate,2024-02-29,Cranfield Precision Inc,2020-11-11,11814,monthly
Northgate,2024-02-29,PINNACLE NIMBUS LLC,2023-03-31,7347,monthly
Northgate,2024-02-29,Vantage Sterling Systems,2023-02-07,49109,monthly
Northgate,2024-02-29,Whitmore Lumen Systems,2020-09-06,16967,annual
Northgate,2024-02-29,Larkspur Lumen Group,2022-12-06,3301,monthly
Northgate,2024-02-29,Eastvale Summit Systems,2022-03-17,37518,annual
Northgate,2024-02-29,QUILLFEATHER PIONEER LABS,2022-06-14,7381,monthly
Northgate,2024-02-29,Yarrow Keystone Partners,2021-09-22,9513,monthly
Northgate,2024-02-29,Verdigris Keystone LLC,2021-04-02,17711,annual
Northgate,2024-02-29,Verdigris Anchor Labs,2023-08-06,6705,monthly
Northgate,2024-02-29,Dunmore Keystone Systems,2022-03-16,15959,monthly
Northgate,2024-02-29,COPPERFIELD FOUNDRY HOLDINGS,2021-08-28,16965,annual
Northgate,2024-02-29,Fairmount Lumen Group,2019-06-26,18507,annual
Northgate,2024-02-29,ACME LUMEN HOLDINGS,2021-02-20,35457,monthly
Northgate,2024-02-29,Cranfield Precision Systems,2022-03-12,28756,monthly
Northgate,2024-02-29,HARBORVIEW BEACON PARTNERS,2020-11-07,6635,monthly
Northgate,2024-02-29,Ravenswood Atlas Systems,2022-09-09,8194,monthly
Northgate,2024-02-29,LAKESHORE COASTAL CORP,2020-01-30,7245,monthly
Northgate,2024-02-29,Umbra Supply Partners,2020-05-08,5229,monthly
Northgate,2024-02-29,Inglewood Cascade Partners,2020-02-06,3100,monthly
Northgate,2024-02-29,Quarry Anchor Partners,2019-08-26,33807,annual
Northgate,2024-02-29,Pemberton Clinical LLC,2022-02-23,554860,annual
Northgate,2024-02-29,Cranfield Anchor LLC,2019-10-01,32972,monthly
Northgate,2024-02-29,Zenith Beacon Systems,2023-01-02,87943,annual
Northgate,2024-02-29,Copperfield Lumen Inc,2019-09-24,25448,monthly
Northgate,2024-02-29,Northgate Quantum Labs,2022-05-21,48639,annual
Northgate,2024-02-29,Quillfeather Onyx Corp,2019-05-08,19701,monthly
Northgate,2024-02-29,Ravenswood Precision Holdings,2022-01-31,24530,monthly
Northgate,2024-02-29,LAKESHORE PIONEER HOLDINGS,2022-04-13,8591,annual
Northgate,2024-02-29,Brightwater Coastal Labs,2020-06-08,9476,monthly
Northgate,2024-02-29,Quillfeather Summit Holdings,2020-03-28,17090,monthly
Northgate,2024-02-29,Larkspur Sterling Systems,2022-12-22,33684,monthly
Northgate,2024-02-29,Dovetail Sterling Holdings,2023-06-25,19738,annual
Northgate,2024-02-29,Umbra Anchor Systems,2023-02-18,8265,monthly
Northgate,2024-02-29,Underhill Sterling Corp,2023-08-04,14400,annual
Northgate,2024-02-29,Dunmore Sterling Corp,2021-10-08,23821,annual
Northgate,2024-02-29,Dunmore Cascade Partners,2020-11-21,7784,monthly
Northgate,2024-02-29,Verdigris Quantum LLC,2020-05-17,18794,monthly
Northgate,2024-02-29,PINNACLE NIMBUS HOLDINGS,2021-03-29,7487,monthly
Northgate,2024-02-29,VERDIGRIS ONYX SYSTEMS,2020-01-26,5954,monthly
Northgate,2024-02-29,Cranfield Sterling Labs,2019-12-20,5943,monthly
Northgate,2024-02-29,Westbrook Onyx Partners,2021-03-31,8423,annual
Northgate,2024-02-29,Northwind Supply Partners,2022-10-02,12097,annual
Northgate,2024-02-29,Whitmore Atlas Holdings,2020-09-13,30264,annual
Northgate,2024-02-29,Blackthorn Clinical Partners,2020-09-24,7912,monthly
Northgate,2024-02-29,THORNBURY PRECISION LABS,2021-09-30,13017,monthly
Pelham,2024-10-31,REDSTONE SABLE HOLDINGS,2022-05-21,133365,annual
Pelham,2024-10-31,Blackthorn Freight Labs,2020-08-10,12141,monthly
Pelham,2024-10-31,Ashcombe Sterling Corp,2024-02-23,4592,monthly
Pelham,2024-10-31,Ashcombe Foundry Partners,2024-03-15,3501,annual
Pelham,2024-10-31,Pinnacle Analytics Labs,2022-05-17,10872,monthly
Pelham,2024-10-31,NORTHGATE COMPASS LLC,2022-12-02,15973,monthly
Pelham,2024-10-31,Pemberton Onyx Group,2021-06-29,19978,usage
Pelham,2024-10-31,Alder Beacon Holdings,2023-03-06,169726,annual
