month,active_customers,mrr_usd,revenue_usd,new_customers,churned_customers,adjustment,adjustment_note,prepared_on,prepared_by
2022-10,214,989541,846191,26,0,,,2022-11-05,J.R.
2022-11,227,1025725,2318558,22,4,,,2022-12-09,J.R.
2022-12,241,1065476,1410497,16,0,,,2023-01-08,J.R.
2023-01,252,1093813,521408,21,1,,,2023-02-06,J.R.
2023-02,263,1140589,462323,17,5,,,2023-03-04,J.R.
2023-03,275,1213126,769202,21,0,,,2023-04-04,J.R.
2023-04,291,1273464,743597,26,4,,,2023-05-06,J.R.
2023-05,303,1313581,789083,23,4,,,2023-06-06,J.R.
2023-06,297,1326936,882896,20,1,-14,removed duplicate accounts per J.R. cleanup,2023-07-08,J.R.
2023-07,325,1372811,667498,19,2,,,2023-08-06,J.R.
2023-08,342,1407585,631181,19,1,,,2023-09-07,J.R.
2023-09,360,1459128,794557,26,5,,,2023-10-05,J.R.
2023-10,377,1536182,1792907,25,9,,,2023-11-04,J.R.
2023-11,389,1558517,3423991,25,5,,,2023-12-09,J.R.
2023-12,407,1589139,1696829,14,5,,,2024-01-05,J.R.
2024-01,421,1773238,875571,29,5,,,2024-02-08,J.R.
2024-02,440,1838516,1222961,24,3,,,2024-03-09,J.R.
2024-03,470,1945308,1498341,30,6,9,reinstated annual accounts flagged inactive in error,2024-04-07,J.R.
2024-04,485,1998042,1985862,30,8,,,2024-05-04,J.R.
2024-05,496,2055147,2121236,26,3,,,2024-06-07,J.R.
2024-06,507,2049221,1892966,21,5,,,2024-07-09,J.R.
2024-07,520,2085580,1405283,16,6,,,2024-08-04,J.R.
2024-08,541,2204693,1342705,21,10,,,2024-09-08,J.R.
2024-09,559,2261295,2353531,22,4,,,2024-10-04,J.R.
2024-10,573,2275909,2710665,27,11,,,2024-11-05,J.R.
2024-11,566,2361923,4804811,23,6,-22,"Pelham migration in progress, excl. until re-papered",2024-12-09,J.R.
2024-12,603,2479299,2562482,20,9,,,2025-01-04,J.R.
2025-01,624,2566906,1989757,24,3,,,2025-02-06,J.R.
2025-02,646,2533218,2099598,31,7,,,2025-03-09,J.R.
2025-03,675,2619443,2365455,27,12,,M.K. took over reporting; revenue now per Stripe recognized,2025-04-09,M.K.
2025-04,691,2727299,2464322,27,7,,,2025-05-05,M.K.
2025-05,703,2751981,2476332,22,5,,,2025-06-08,M.K.
2025-06,715,2797248,2519989,23,7,,,2025-07-08,M.K.
2025-07,748,2806595,2570591,18,10,,,2025-08-08,M.K.
2025-08,771,2867620,2606930,31,8,,,2025-09-04,M.K.
2025-09,810,2954489,2619938,26,11,11,added Vireo accounts not yet in SFDC,2025-10-06,M.K.
2025-10,823,3063979,2769546,36,5,,,2025-11-06,M.K.
2025-11,851,3205737,2830408,34,16,,,2025-12-07,M.K.
2025-12,872,3243468,3045009,22,8,,,2026-01-07,M.K.
2026-01,895,3273151,2997751,28,6,,,2026-02-09,M.K.
2026-02,923,3447088,3124800,32,9,-6,removed test accounts,2026-03-08,M.K.
2026-03,966,3493141,3262420,40,9,,,2026-04-08,M.K.
2026-04,994,3614998,3360246,36,14,,,2026-05-05,M.K.
2026-05,1013,3642556,3357431,26,7,,,2026-06-07,M.K.
2026-06,1045,3738960,3509202,29,19,,,2026-07-09,M.K.
2026-07,1050,3807042,3483581,19,14,,,2026-08-09,M.K.
