account_id,account_name,email_domain,sector,created_date,account_status,plan_tier,mrr_usd,owner,lead_source
001Qy00000100836,Marbury Lumen LLC,marbury.com,Fintech,2025-05-14,Active,Starter,558.95,p.lindqvist,
001Qy00000101105,Muñoz Holdings Onyx II,munoz.com,Healthcare,2026-01-18,Active,Enterprise,2062.53,j.whitfield,
001Qy00000101031,Stonebridge Freight LLC,stonebridge.com,Manufacturing,2025-11-08,Active,Starter,657.34,m.tan,Word of Mouth
001Qy00000100326,Ironwood Summit Partners,ironwood.com,Energy,2023-06-04,Active,Growth,1993.24,m.tan,
001Qy00000100335,Redstone Clinical Holdings,redstone.com,Construction,2023-08-13,Active,Enterprise,6826.70,p.lindqvist,
001Qy00000101023,Oakfield Quantum Systems,oakfield.com,Energy,2025-10-08,Active,Starter,548.35,m.tan,Word of Mouth
001Qy00000100129,Copperfield Quantum Inc,copperfield.com,Education,2021-05-26,Churned,Enterprise,0.00,j.whitfield,
001Qy00000100749,Meridian Precision Inc,meridian.com,Education,2025-01-12,Active,Growth,1487.64,m.tan,LinkedIn
001Qy00000101416,García Sistemas Cascade II,garcia.com,Healthcare,2020-04-27,Active,Growth,2581.53,d.castellanos,
001Qy00000100017,Lakeshore Analytics Systems,lakeshore.com,Hospitality,2017-06-18,Active,Growth,4936.95,p.lindqvist,
001Qy00000100815,Meridian Coastal Inc,meridian.com,Media,2025-04-08,Active,Growth,2834.63,m.tan,Tradeshow
001Qy00000101401,Nightingale Compass Inc,nightingale.com,Healthcare,2021-05-21,Active,Enterprise,7495.30,s.okoro,
001Qy00000101113,Redstone Beacon Systems,redstone.com,Education,2026-01-13,,Growth,3735.57,m.tan,Partner Referral
001Qy00000100686,Oakfield Pioneer Partners,oakfield.com,Hospitality,2024-10-02,Churned,Starter,996.53,d.castellanos,Organic Search
001Qy00000100099,López y Asociados Analytics,lopez.com,Hospitality,2019-12-24,Active,Growth,2188.88,j.whitfield,
001Qy00000100032,Whitmore Onyx Corp,whitmore.com,Hospitality,2020-07-11,Churned,Enterprise,43946.77,p.lindqvist,
001Qy00000101016,Stonebridge Sable Holdings,stonebridge.com,Media,2025-11-12,Active,Growth,1151.88,a.reyes,Direct
001Qy00000100286,Quillfeather Summit Corp,quillfeather.com,Manufacturing,2023-04-02,Active,Enterprise,6000.00,a.reyes,
001Qy00000100172,Northgate Summit Corp,northgate.com,Education,2022-10-22,Churned,Starter,718.97,d.castellanos,
001Qy00000100609,Pinnacle Trading Systems,pinnacle.com,Logistics,2024-07-17,Inactive,Starter,0.00,s.okoro,social
001Qy00000101033,Thornbury Quantum Systems,thornbury.com,Manufacturing,2025-10-25,Active,Growth,2033.26,j.whitfield,Outbound
001Qy00000101341,Zenith Beacon Systems,zenith.com,Construction,2022-12-23,Active,Enterprise,13071.84,m.tan,
001Qy00000100144,Underhill Atlas Holdings,underhill.com,Construction,2022-09-17,Active,Starter,1058.16,j.whitfield,
001Qy00000100634,Nightingale Quantum Labs,nightingale.com,Media,2024-09-20,Active,Starter,803.00,p.lindqvist,Paid Social
001Qy00000101131,Quarry Keystone LLC,quarry.com,Construction,2026-03-13,Churned,Starter,0.00,m.tan,paid search
001Qy00000101290,Dovetail Keystone Systems,dovetail.com,Media,2026-07-10,,Starter,314.48,d.castellanos,paid search
001Qy00000101296,Westbrook Lumen Corp,westbrook.com,Retail,2026-07-17,Active,Starter,861.02,j.whitfield,SEO
001Qy00000100136,Kestrel Freight Systems,kestrel.com,Logistics,2021-04-16,Active,Growth,11220.88,a.reyes,
001Qy00000101278,Silverline Beacon LLC,silverline.com,Healthcare,2026-07-03,Active,Starter,760.37,a.reyes,Google Ads
001Qy00000100559,Pinnacle Precision Partners,pinnacle.com,Retail,2024-05-23,Active,Growth,2581.15,s.okoro,
001Qy00000100360,Inglewood Vector Labs,inglewood.com,Retail,2023-08-11,,Growth,3061.66,s.okoro,
001Qy00000100702,Guimarães Log Digital,guimaraes.com,Construction,2024-11-26,Active,Growth,3845.30,p.lindqvist,Direct
001Qy00000101326,Verdigris Anchor Labs,verdigris.com,Fintech,2023-07-06,Active,Starter,654.01,a.reyes,
001Qy00000100394,Dovetail Summit Systems,dovetail.com,Manufacturing,2023-10-29,Inactive,Starter,330.49,s.okoro,
001Qy00000100921,Westbrook Lumen Group,westbrook.com,Logistics,2025-08-12,,Growth,1093.51,m.tan,Paid Search
001Qy00000100966,Ashcombe Lumen Inc.,ashcombe.com,Construction,2025-10-10,Active,Starter,10.87,d.castellanos,LinkedIn Ads
001Qy00000101434,Cranfield Trading Partners,cranfield.com,Retail,2020-07-02,Active,Growth,2363.01,a.reyes,
001Qy00000100748,Dunmore Supply Inc,dunmore.com,Hospitality,2025-01-10,Active,Starter,317.90,j.whitfield,Google Ads
001Qy00000101259,Pinnacle Sterling LLC,pinnacle.com,Media,2026-05-17,Active,Starter,536.79,d.castellanos,
001Qy00000100588,Verdigris Sterling Holdings,verdigris.com,Manufacturing,2024-06-09,Inactive,Growth,328.36,m.tan,PPC
001Qy00000100358,Alder Digital Labs,alder.com,Education,2023-09-17,Active,Starter,747.36,s.okoro,
001Qy00000100847,Kestrel Nimbus LLC,kestrel.com,Healthcare,2025-04-11,Active,Growth,2951.63,s.okoro,Word of Mouth
001Qy00000100567,Northwind Lumen LLC,northwind.com,Construction,2024-06-08,Active,Starter,528.38,s.okoro,direct
001Qy00000100403,Guimarães Log Beacon,guimaraes.com,Fintech,2023-11-24,Active,Enterprise,21685.54,p.lindqvist,
001Qy00000100134,Brightwater Analytics LLC,brightwater.com,Healthcare,2017-08-14,Inactive,Growth,1406.94,m.tan,
001Qy00000101039,Thornbury Summit Systems,thornbury.com,Logistics,2025-11-02,Churned,Starter,291.72,m.tan,Blog
001Qy00000100612,Ravenswood Digital Holdings,ravenswood.com,Education,2024-07-11,Inactive,Growth,6585.45,s.okoro,Partner Referral
001Qy00000101053,Fairmount Coastal Corp,fairmount.com,Retail,2025-11-30,Active,Starter,439.52,m.tan,direct
001Qy00000100741,Cerulean Supply Corp,cerulean.com,Construction,2024-12-24,Active,Growth,2011.31,j.whitfield,Blog
001Qy00000101418,Glenrock Trading Holdings,glenrock.com,Media,2020-01-09,Active,Starter,627.23,s.okoro,
001Qy00000100795,Underhill Coastal Holdings,underhill.com,Media,2025-03-07,Inactive,Starter,1057.89,m.tan,LinkedIn Ads
001Qy00000100597,GARCÍA SISTEMAS LUMEN II,garcia.com,Manufacturing,2024-06-02,Churned,Starter,137.11,a.reyes,SDR
001Qy00000100130,Quillfeather Digital Systems,quillfeather.com,Education,2021-09-15,Active,Growth,13500.00,m.tan,
