company_name,contract_type,ttm_usd,share_pct,cum_share_pct
Meridian Cascade,usage,1524796.0,3.85,3.9
VERDIGRIS PIONEER HOLDINGS,monthly,1344654.0,3.4,7.2
Acme Onyx,monthly,768500.0,1.94,9.2
Oakfield Compass Labs,usage,754599.0,1.91,11.1
Pemberton Clinical LLC,annual,733679.0,1.85,12.9
Pinnacle Digital Group,usage,672295.0,1.7,14.6
Dovetail Trading Labs,annual,644826.0,1.63,16.3
Larkspur Freight Holdings,annual,444373.0,1.12,17.4
Yellowfin Clinical,annual,403949.0,1.02,18.4
Meridian Atlas Group,annual,399942.0,1.01,19.4
