base_month,measured_month,base_customers,still_paying,logo_retention_pct,grr_pct,nrr_pct
2022-10-01,2023-10-01,67,53,79.1,84.6,102.0
2022-11-01,2023-11-01,142,119,83.8,93.1,113.1
2022-12-01,2023-12-01,178,141,79.2,90.4,109.4
2023-01-01,2024-01-01,193,155,80.3,89.8,107.4
2023-02-01,2024-02-01,208,168,80.8,90.6,107.4
2023-03-01,2024-03-01,223,178,79.8,86.7,104.0
2023-04-01,2024-04-01,246,191,77.6,87.3,105.6
2023-05-01,2024-05-01,259,196,75.7,85.1,99.5
2023-06-01,2024-06-01,272,212,77.9,86.2,102.9
2023-07-01,2024-07-01,283,224,79.2,81.0,95.8
2023-08-01,2024-08-01,298,227,76.2,84.8,102.6
2023-09-01,2024-09-01,308,239,77.6,86.0,100.0
2023-10-01,2024-10-01,325,250,76.9,86.0,102.8
2023-11-01,2024-11-01,341,265,77.7,86.4,99.9
2023-12-01,2024-12-01,337,265,78.6,83.9,98.6
2024-01-01,2025-01-01,357,284,79.6,83.0,98.6
2024-02-01,2025-02-01,377,293,77.7,76.3,91.3
2024-03-01,2025-03-01,416,319,76.7,80.5,93.4
2024-04-01,2025-04-01,443,339,76.5,80.9,95.0
2024-05-01,2025-05-01,481,366,76.1,84.2,97.5
2024-06-01,2025-06-01,507,387,76.3,83.9,95.8
2024-07-01,2025-07-01,519,388,74.8,82.5,93.5
2024-08-01,2025-08-01,512,395,77.1,81.7,92.9
2024-09-01,2025-09-01,526,409,77.8,83.3,94.1
2024-10-01,2025-10-01,529,422,79.8,84.9,96.7
2024-11-01,2025-11-01,559,433,77.5,83.3,95.3
2024-12-01,2025-12-01,584,462,79.1,85.6,98.7
2025-01-01,2026-01-01,611,480,78.6,80.5,95.4
2025-02-01,2026-02-01,638,501,78.5,85.0,98.3
2025-03-01,2026-03-01,651,516,79.3,84.3,96.8
2025-04-01,2026-04-01,662,536,81.0,85.7,98.2
2025-05-01,2026-05-01,666,537,80.6,83.3,97.3
2025-06-01,2026-06-01,693,553,79.8,84.5,99.0
2025-07-01,2026-07-01,711,565,79.5,82.1,95.0
