contract_type,month,paying_customers,revenue,new_rev,retained_rev,expansion_rev,contraction_rev,resurrected_rev,churned_rev,quick_ratio
annual,2022-10-01,21,61302.0,61302.0,,,,,,
annual,2022-11-01,49,228238.0,166937.0,61302.0,,,,,
annual,2022-12-01,65,316620.0,88382.0,228238.0,,,,,
annual,2023-01-01,73,332648.0,16027.0,316620.0,,,,,
annual,2023-02-01,77,340159.0,7511.0,332648.0,,,,,
annual,2023-03-01,84,371752.0,31593.0,340159.0,,,,,
annual,2023-04-01,91,400241.0,28489.0,371752.0,,,,,
annual,2023-05-01,96,427243.0,27003.0,400241.0,,,,,
annual,2023-06-01,105,461919.0,34676.0,427243.0,,,,,
annual,2023-07-01,109,489454.0,27535.0,461919.0,,,,,
annual,2023-08-01,113,501155.0,11700.0,489454.0,,,,,
annual,2023-09-01,120,525341.0,24186.0,501155.0,,,,,
annual,2023-10-01,125,568550.0,52082.0,510246.0,6222.0,-1296.0,,-13799.0,3.86
annual,2023-11-01,127,639954.0,37159.0,561454.0,41341.0,-112.0,,-6984.0,11.06
annual,2023-12-01,125,645345.0,13857.0,624619.0,6870.0,-2255.0,,-13080.0,1.35
annual,2024-01-01,130,652902.0,6515.0,644869.0,1518.0,-477.0,,,16.85
annual,2024-02-01,136,674455.0,20689.0,652902.0,865.0,,,,
annual,2024-03-01,147,692787.0,42246.0,648706.0,1835.0,,,-25750.0,1.71
annual,2024-04-01,160,750796.0,55482.0,688970.0,6344.0,-168.0,,-3648.0,16.2
annual,2024-05-01,170,828668.0,70131.0,750447.0,8090.0,,,-349.0,224.01
annual,2024-06-01,178,875099.0,38554.0,825053.0,11492.0,-128.0,,-3486.0,13.85
annual,2024-07-01,182,889581.0,16698.0,871084.0,1799.0,,,-4015.0,4.61
annual,2024-08-01,184,910609.0,21146.0,888381.0,1082.0,,,-1200.0,18.52
annual,2024-09-01,191,1005835.0,102460.0,902745.0,630.0,,,-7865.0,13.11
annual,2024-10-01,194,1048149.0,41512.0,991426.0,15211.0,-865.0,,-13544.0,3.94
annual,2024-11-01,200,1132832.0,27253.0,1038715.0,66263.0,-2486.0,601.0,-6947.0,9.98
annual,2024-12-01,210,1168438.0,66112.0,1086467.0,3619.0,,12241.0,-46365.0,1.77
annual,2025-01-01,218,1228395.0,58570.0,1166205.0,3621.0,-288.0,,-1946.0,27.84
annual,2025-02-01,226,1286211.0,54264.0,1227160.0,4786.0,-53.0,,-1182.0,47.8
annual,2025-03-01,227,1287466.0,7179.0,1276194.0,4093.0,-366.0,,-9651.0,1.13
annual,2025-04-01,227,1302761.0,32160.0,1262231.0,8369.0,-39.0,,-25195.0,1.61
annual,2025-05-01,236,1377593.0,67239.0,1301656.0,8697.0,-1104.0,,,68.77
annual,2025-06-01,240,1370137.0,17473.0,1348374.0,4290.0,-523.0,,-28696.0,0.74
annual,2025-07-01,244,1390476.0,21781.0,1358018.0,10677.0,,,-12118.0,2.68
annual,2025-08-01,258,1428991.0,37433.0,1388886.0,2672.0,-1590.0,,,25.22
annual,2025-09-01,265,1479739.0,48189.0,1418725.0,12825.0,-1472.0,,-8794.0,5.94
annual,2025-10-01,274,1539473.0,46499.0,1468770.0,24205.0,-253.0,,-10716.0,6.45
annual,2025-11-01,279,1625698.0,70128.0,1507770.0,47800.0,-422.0,,-31281.0,3.72
annual,2025-12-01,285,1682655.0,45407.0,1608577.0,23460.0,,5211.0,-17121.0,4.33
annual,2026-01-01,293,1739935.0,45125.0,1677359.0,17451.0,-410.0,,-4886.0,11.81
annual,2026-02-01,295,1753614.0,6377.0,1728489.0,18748.0,-25.0,,-11420.0,2.2
annual,2026-03-01,303,1781689.0,24529.0,1747812.0,7484.0,-1.0,1863.0,-5801.0,5.84
annual,2026-04-01,309,1814652.0,18552.0,1773514.0,22586.0,-1991.0,,-6185.0,5.03
annual,2026-05-01,315,1867232.0,8482.0,1814163.0,44586.0,-489.0,,,108.56
annual,2026-06-01,316,1875975.0,1337.0,1860514.0,14124.0,-442.0,,-6275.0,2.3
annual,2026-07-01,313,1870984.0,44553.0,1824439.0,1992.0,-91.0,,-51445.0,0.9
annual,2026-08-01,310,1889827.0,24589.0,1850366.0,14872.0,-1084.0,,-19534.0,1.91
monthly,2022-10-01,39,57050.0,57050.0,,,,,,
monthly,2022-11-01,80,233648.0,184686.0,48891.0,71.0,,,-8159.0,22.64
monthly,2022-12-01,95,264004.0,31371.0,227427.0,1611.0,-973.0,3595.0,-5248.0,5.88
monthly,2023-01-01,103,280234.0,16304.0,256250.0,3513.0,-284.0,4166.0,-7470.0,3.09
monthly,2023-02-01,114,287827.0,8786.0,270224.0,3373.0,-411.0,5445.0,-9599.0,1.76
monthly,2023-03-01,120,302864.0,19662.0,273489.0,2017.0,-767.0,7696.0,-13571.0,2.05
monthly,2023-04-01,135,323855.0,24718.0,287949.0,1513.0,-3825.0,9675.0,-11089.0,2.41
monthly,2023-05-01,139,359155.0,15645.0,313038.0,22794.0,-1005.0,7679.0,-9813.0,4.26
monthly,2023-06-01,142,354548.0,7910.0,337325.0,4038.0,-11846.0,5275.0,-9985.0,0.79
monthly,2023-07-01,147,239336.0,11619.0,219235.0,1546.0,-2241.0,6936.0,-133072.0,0.15
monthly,2023-08-01,158,380775.0,24520.0,226699.0,1152.0,-1633.0,128405.0,-11005.0,12.19
monthly,2023-09-01,161,391069.0,12248.0,360589.0,13512.0,-335.0,4720.0,-19852.0,1.51
monthly,2023-10-01,172,427179.0,22504.0,385253.0,4034.0,-916.0,15387.0,-4900.0,7.21
monthly,2023-11-01,184,431822.0,12191.0,414109.0,4903.0,-4320.0,619.0,-8750.0,1.36
monthly,2023-12-01,183,439615.0,10219.0,419496.0,7299.0,-510.0,2601.0,-11816.0,1.63
monthly,2024-01-01,197,470404.0,26407.0,426455.0,4002.0,-227.0,13540.0,-12933.0,3.34
monthly,2024-02-01,208,471525.0,10544.0,452939.0,2060.0,-2801.0,5982.0,-14663.0,1.06
monthly,2024-03-01,235,506869.0,33981.0,450480.0,6100.0,-5752.0,16307.0,-15293.0,2.68
monthly,2024-04-01,249,535589.0,36198.0,479607.0,8524.0,-1342.0,11260.0,-25920.0,2.05
monthly,2024-05-01,278,590211.0,65409.0,505513.0,3306.0,-3501.0,15983.0,-26575.0,2.82
monthly,2024-06-01,294,628406.0,16226.0,577371.0,6168.0,-1959.0,28641.0,-10882.0,3.97
monthly,2024-07-01,301,615900.0,9998.0,594689.0,4079.0,-6639.0,7134.0,-27078.0,0.63
monthly,2024-08-01,293,615195.0,18284.0,579662.0,8249.0,-933.0,9000.0,-35305.0,0.98
monthly,2024-09-01,300,641076.0,15393.0,595315.0,8177.0,-925.0,22191.0,-18955.0,2.3
monthly,2024-10-01,298,633041.0,10217.0,611295.0,3191.0,-5983.0,8338.0,-23798.0,0.73
monthly,2024-11-01,319,654870.0,28884.0,612918.0,5247.0,-4750.0,7821.0,-15373.0,2.08
monthly,2024-12-01,332,669727.0,21998.0,625950.0,6201.0,-1522.0,15578.0,-27398.0,1.51
monthly,2025-01-01,348,681849.0,36927.0,626203.0,6364.0,-2727.0,12355.0,-40797.0,1.28
monthly,2025-02-01,368,734351.0,26433.0,664329.0,9187.0,-2615.0,34402.0,-14905.0,4.0
monthly,2025-03-01,376,723827.0,20983.0,685726.0,4625.0,-6005.0,12493.0,-42620.0,0.78
monthly,2025-04-01,384,739982.0,27363.0,682962.0,4001.0,-3292.0,25656.0,-37573.0,1.4
monthly,2025-05-01,380,728064.0,11212.0,690653.0,5357.0,-2799.0,20842.0,-46530.0,0.76
monthly,2025-06-01,398,770178.0,24658.0,693409.0,7056.0,-7825.0,45055.0,-26830.0,2.22
monthly,2025-07-01,412,762720.0,25453.0,714391.0,6827.0,-6643.0,16049.0,-49144.0,0.87
monthly,2025-08-01,442,822086.0,47086.0,733914.0,6179.0,-3612.0,34907.0,-25193.0,3.06
monthly,2025-09-01,433,786310.0,17287.0,740247.0,11386.0,-16324.0,17392.0,-65516.0,0.56
monthly,2025-10-01,453,840806.0,24178.0,765505.0,9410.0,-2758.0,41712.0,-18047.0,3.62
monthly,2025-11-01,461,835360.0,22226.0,784049.0,10690.0,-5162.0,18395.0,-51595.0,0.9
monthly,2025-12-01,461,911462.0,104323.0,775608.0,5288.0,-6252.0,26243.0,-53501.0,2.27
monthly,2026-01-01,462,811019.0,10518.0,759645.0,9788.0,-4367.0,31068.0,-147450.0,0.34
monthly,2026-02-01,475,957962.0,26757.0,780638.0,8007.0,-3044.0,142560.0,-27336.0,5.84
monthly,2026-03-01,496,984158.0,22000.0,932415.0,8984.0,-2667.0,20760.0,-22881.0,2.03
monthly,2026-04-01,514,1008694.0,34318.0,955265.0,5654.0,-2708.0,13458.0,-26185.0,1.85
monthly,2026-05-01,523,1027020.0,30756.0,973003.0,7485.0,-1387.0,15776.0,-34304.0,1.51
monthly,2026-06-01,513,1120358.0,119573.0,973404.0,10973.0,-3425.0,16409.0,-50191.0,2.74
monthly,2026-07-01,520,1105445.0,9454.0,1070627.0,7974.0,-3691.0,17390.0,-46040.0,0.7
monthly,2026-08-01,377,779443.0,5021.0,751645.0,2983.0,-2108.0,19795.0,-351692.0,0.08
usage,2022-10-01,7,53519.0,53519.0,,,,,,
usage,2022-11-01,13,81671.0,17375.0,53334.0,10962.0,-185.0,,,152.92
usage,2022-12-01,18,85910.0,6612.0,76947.0,2351.0,-4724.0,,,1.9
usage,2023-01-01,17,48846.0,,39767.0,9079.0,-1386.0,,-44757.0,0.2
usage,2023-02-01,17,84362.0,,45099.0,3628.0,-3354.0,35635.0,-393.0,10.48
usage,2023-03-01,19,87219.0,1699.0,78665.0,6414.0,-5696.0,441.0,,1.5
usage,2023-04-01,20,77880.0,1782.0,72563.0,3536.0,-8900.0,,-5757.0,0.36
usage,2023-05-01,24,105898.0,7780.0,72701.0,19090.0,-2063.0,6327.0,-3116.0,6.41
usage,2023-06-01,25,112240.0,,100004.0,7286.0,-5893.0,4950.0,,2.08
usage,2023-07-01,27,97738.0,2572.0,89533.0,5632.0,-20820.0,,-1887.0,0.36
usage,2023-08-01,27,110004.0,,91126.0,16909.0,-5013.0,1969.0,-1599.0,2.86
