month,paying_and_using,paying_not_using,using_not_paying
2022-09-01,0,0,18
2022-10-01,61,6,28
2022-11-01,132,9,38
2022-12-01,164,11,32
2023-01-01,179,11,36
2023-02-01,192,12,37
2023-03-01,204,13,40
2023-04-01,226,15,40
2023-05-01,235,18,48
2023-06-01,251,15,46
2023-07-01,261,16,46
2023-08-01,276,16,43
2023-09-01,284,18,51
2023-10-01,301,18,57
2023-11-01,313,21,55
2023-12-01,311,20,67
2024-01-01,330,21,63
2024-02-01,349,21,69
2024-03-01,384,23,81
2024-04-01,410,22,90
2024-05-01,449,22,91
2024-06-01,470,25,78
2024-07-01,479,27,79
2024-08-01,476,25,98
2024-09-01,489,25,92
2024-10-01,492,25,105
2024-11-01,522,24,93
2024-12-01,545,22,99
2025-01-01,572,24,108
2025-02-01,596,26,107
2025-03-01,604,30,119
2025-04-01,611,34,115
2025-05-01,621,29,125
2025-06-01,646,31,119
2025-07-01,665,30,120
2025-08-01,698,37,119
2025-09-01,700,37,132
2025-10-01,731,37,124
2025-11-01,740,37,129
2025-12-01,750,37,136
2026-01-01,761,36,127
2026-02-01,778,36,130
2026-03-01,806,36,133
2026-04-01,822,43,131
2026-05-01,827,51,123
2026-06-01,800,69,139
2026-07-01,796,75,141
2026-08-01,655,55,273
