contract_type,month,active_orgs,new_orgs,retained_orgs,resurrected_orgs,churned_orgs,quick_ratio
(unmatched),2022-10-01,12,12,0,0,0,
(unmatched),2022-11-01,19,7,12,0,0,
(unmatched),2022-12-01,22,3,19,0,0,
(unmatched),2023-01-01,24,2,22,0,0,
(unmatched),2023-02-01,25,2,23,0,-1,2.0
(unmatched),2023-03-01,26,1,25,0,0,
(unmatched),2023-04-01,26,0,26,0,0,
(unmatched),2023-05-01,30,5,25,0,-1,5.0
(unmatched),2023-06-01,33,3,30,0,0,
(unmatched),2023-07-01,33,0,33,0,0,
(unmatched),2023-08-01,33,1,32,0,-1,1.0
(unmatched),2023-09-01,35,3,32,0,-1,3.0
(unmatched),2023-10-01,39,4,35,0,0,
(unmatched),2023-11-01,41,3,38,0,-1,3.0
(unmatched),2023-12-01,45,4,41,0,0,
(unmatched),2024-01-01,42,0,42,0,-3,0.0
(unmatched),2024-02-01,45,2,42,1,0,
(unmatched),2024-03-01,53,8,45,0,0,
(unmatched),2024-04-01,53,2,51,0,-2,1.0
(unmatched),2024-05-01,56,4,52,0,-1,4.0
(unmatched),2024-06-01,60,4,56,0,0,
(unmatched),2024-07-01,63,4,59,0,-1,4.0
(unmatched),2024-08-01,63,1,62,0,-1,1.0
(unmatched),2024-09-01,63,1,62,0,-1,1.0
(unmatched),2024-10-01,63,0,63,0,0,
(unmatched),2024-11-01,66,4,62,0,-1,4.0
(unmatched),2024-12-01,66,2,64,0,-2,1.0
(unmatched),2025-01-01,72,6,65,1,-1,7.0
(unmatched),2025-02-01,73,3,70,0,-2,1.5
(unmatched),2025-03-01,76,4,72,0,-1,4.0
(unmatched),2025-04-01,76,3,73,0,-3,1.0
(unmatched),2025-05-01,77,2,75,0,-1,2.0
(unmatched),2025-06-01,79,4,75,0,-2,2.0
(unmatched),2025-07-01,81,3,78,0,-1,3.0
(unmatched),2025-08-01,83,3,80,0,-1,3.0
(unmatched),2025-09-01,83,1,82,0,-1,1.0
(unmatched),2025-10-01,86,4,82,0,-1,4.0
(unmatched),2025-11-01,87,4,83,0,-3,1.33
(unmatched),2025-12-01,88,2,86,0,-1,2.0
(unmatched),2026-01-01,92,5,87,0,-1,5.0
(unmatched),2026-02-01,93,4,89,0,-3,1.33
(unmatched),2026-03-01,94,3,91,0,-2,1.5
(unmatched),2026-04-01,93,1,92,0,-2,0.5
(unmatched),2026-05-01,93,1,92,0,-1,1.0
(unmatched),2026-06-01,94,4,90,0,-3,1.33
(unmatched),2026-07-01,92,1,91,0,-3,0.33
(unmatched),2026-08-01,90,0,90,0,-2,0.0
annual,2022-10-01,27,20,0,7,0,
annual,2022-11-01,51,24,27,0,0,
annual,2022-12-01,59,8,51,0,0,
annual,2023-01-01,66,7,59,0,0,
annual,2023-02-01,72,6,66,0,0,
annual,2023-03-01,77,5,72,0,0,
annual,2023-04-01,84,7,77,0,0,
annual,2023-05-01,88,4,84,0,0,
annual,2023-06-01,95,7,88,0,0,
annual,2023-07-01,99,4,95,0,0,
annual,2023-08-01,104,5,99,0,0,
annual,2023-09-01,112,8,104,0,0,
annual,2023-10-01,119,9,110,0,-2,4.5
annual,2023-11-01,121,4,116,1,-3,1.67
annual,2023-12-01,120,3,116,1,-5,0.8
annual,2024-01-01,124,4,119,1,-1,5.0
annual,2024-02-01,133,10,123,0,-1,10.0
annual,2024-03-01,146,13,133,0,0,
annual,2024-04-01,158,14,144,0,-2,7.0
annual,2024-05-01,167,10,157,0,-1,10.0
annual,2024-06-01,169,4,165,0,-2,2.0
annual,2024-07-01,175,6,169,0,0,
annual,2024-08-01,176,2,174,0,-1,2.0
annual,2024-09-01,182,8,174,0,-2,4.0
annual,2024-10-01,191,12,179,0,-3,4.0
annual,2024-11-01,193,8,185,0,-6,1.33
annual,2024-12-01,200,9,191,0,-2,4.5
annual,2025-01-01,209,12,197,0,-3,4.0
annual,2025-02-01,215,7,208,0,-1,7.0
annual,2025-03-01,221,7,213,1,-2,4.0
annual,2025-04-01,221,6,215,0,-6,1.0
annual,2025-05-01,229,11,218,0,-3,3.67
annual,2025-06-01,230,5,224,1,-5,1.2
annual,2025-07-01,236,9,227,0,-3,3.0
annual,2025-08-01,243,10,233,0,-3,3.33
annual,2025-09-01,252,10,242,0,-1,10.0
annual,2025-10-01,263,12,251,0,-1,12.0
annual,2025-11-01,271,10,261,0,-2,5.0
annual,2025-12-01,277,9,268,0,-3,3.0
annual,2026-01-01,279,7,272,0,-5,1.4
annual,2026-02-01,280,4,276,0,-3,1.33
annual,2026-03-01,287,9,278,0,-2,4.5
annual,2026-04-01,294,8,286,0,-1,8.0
annual,2026-05-01,297,4,293,0,-1,4.0
annual,2026-06-01,299,5,294,0,-3,1.67
annual,2026-07-01,303,4,298,1,-1,5.0
annual,2026-08-01,300,2,298,0,-5,0.4
monthly,2022-10-01,45,38,0,7,0,
monthly,2022-11-01,88,43,45,0,0,
monthly,2022-12-01,99,12,87,0,-1,12.0
monthly,2023-01-01,107,11,96,0,-3,3.67
monthly,2023-02-01,119,13,106,0,-1,13.0
monthly,2023-03-01,125,10,115,0,-4,2.5
monthly,2023-04-01,139,17,122,0,-3,5.67
monthly,2023-05-01,141,6,134,1,-5,1.4
monthly,2023-06-01,144,9,135,0,-6,1.5
monthly,2023-07-01,150,7,143,0,-1,7.0
monthly,2023-08-01,157,12,145,0,-5,2.4
monthly,2023-09-01,165,9,156,0,-1,9.0
monthly,2023-10-01,170,12,158,0,-7,1.71
monthly,2023-11-01,179,15,164,0,-6,2.5
monthly,2023-12-01,185,10,175,0,-4,2.5
monthly,2024-01-01,200,20,179,1,-6,3.5
monthly,2024-02-01,208,12,196,0,-4,3.0
monthly,2024-03-01,228,23,205,0,-3,7.67
monthly,2024-04-01,260,34,226,0,-2,17.0
monthly,2024-05-01,286,34,252,0,-8,4.25
monthly,2024-06-01,288,7,281,0,-5,1.4
monthly,2024-07-01,291,9,281,1,-7,1.43
monthly,2024-08-01,301,19,282,0,-9,2.11
monthly,2024-09-01,302,14,288,0,-13,1.08
monthly,2024-10-01,302,12,290,0,-12,1.0
monthly,2024-11-01,315,19,296,0,-6,3.17
monthly,2024-12-01,335,26,309,0,-6,4.33
monthly,2025-01-01,357,29,328,0,-7,4.14
monthly,2025-02-01,370,18,351,1,-6,3.17
monthly,2025-03-01,376,12,364,0,-6,2.0
monthly,2025-04-01,381,19,362,0,-14,1.36
monthly,2025-05-01,385,12,373,0,-8,1.5
monthly,2025-06-01,399,22,377,0,-8,2.75
monthly,2025-07-01,417,25,390,2,-9,3.0
monthly,2025-08-01,437,27,410,0,-7,3.86
monthly,2025-09-01,443,22,421,0,-16,1.38
monthly,2025-10-01,447,14,433,0,-10,1.4
monthly,2025-11-01,457,17,440,0,-7,2.43
monthly,2025-12-01,459,13,446,0,-11,1.18
monthly,2026-01-01,461,13,447,1,-12,1.17
monthly,2026-02-01,476,28,448,0,-13,2.15
monthly,2026-03-01,499,32,465,2,-11,3.09
monthly,2026-04-01,504,18,486,0,-13,1.38
monthly,2026-05-01,498,21,476,1,-28,0.79
monthly,2026-06-01,491,18,473,0,-25,0.72
monthly,2026-07-01,485,12,473,0,-18,0.67
monthly,2026-08-01,472,7,465,0,-20,0.35
usage,2022-10-01,6,5,0,1,0,
usage,2022-11-01,13,7,6,0,0,
usage,2022-12-01,14,1,13,0,0,
usage,2023-01-01,15,1,14,0,0,
usage,2023-02-01,15,0,15,0,0,
usage,2023-03-01,16,1,15,0,0,
usage,2023-04-01,20,4,16,0,0,
usage,2023-05-01,22,2,20,0,0,
usage,2023-06-01,22,0,22,0,0,
usage,2023-07-01,25,3,22,0,0,
usage,2023-08-01,25,0,25,0,0,
usage,2023-09-01,25,1,24,0,-1,1.0
usage,2023-10-01,24,0,24,0,-1,0.0
usage,2023-11-01,25,2,23,0,-1,2.0
usage,2023-12-01,26,0,25,1,0,
usage,2024-01-01,26,1,25,0,-1,1.0
usage,2024-02-01,29,3,26,0,0,
usage,2024-03-01,31,4,27,0,-2,2.0
usage,2024-04-01,31,1,30,0,-1,1.0
usage,2024-05-01,32,1,31,0,0,
usage,2024-06-01,34,2,32,0,0,
usage,2024-07-01,34,1,33,0,-1,1.0
usage,2024-08-01,33,1,32,0,-2,0.5
usage,2024-09-01,34,0,33,1,0,
usage,2024-10-01,36,3,33,0,-1,3.0
usage,2024-11-01,40,4,36,0,0,
usage,2024-12-01,41,2,39,0,-1,2.0
usage,2025-01-01,42,1,41,0,0,
usage,2025-02-01,44,4,40,0,-2,2.0
usage,2025-03-01,48,4,44,0,0,
usage,2025-04-01,47,0,47,0,-1,0.0
usage,2025-05-01,47,0,47,0,0,
usage,2025-06-01,52,5,47,0,0,
usage,2025-07-01,52,1,51,0,-1,1.0
usage,2025-08-01,55,2,52,1,0,
usage,2025-09-01,57,3,54,0,-1,3.0
usage,2025-10-01,56,1,55,0,-2,0.5
usage,2025-11-01,56,1,55,0,-1,1.0
usage,2025-12-01,58,2,56,0,0,
usage,2026-01-01,59,1,58,0,0,
usage,2026-02-01,60,2,58,0,-1,2.0
usage,2026-03-01,62,2,60,0,0,
usage,2026-04-01,61,1,60,0,-2,0.5
usage,2026-05-01,60,3,57,0,-4,0.75
usage,2026-06-01,60,2,58,0,-2,1.0
usage,2026-07-01,59,1,58,0,-2,0.5
usage,2026-08-01,58,1,57,0,-2,0.5
