month,active_orgs,new_orgs,retained_orgs,resurrected_orgs,churned_orgs,quick_ratio,mom_retention_pct
2022-10-01,89,71,0,18,0,,
2022-11-01,170,81,89,0,0,,100.0
2022-12-01,196,28,168,0,-2,14.0,98.8
2023-01-01,215,23,192,0,-4,5.75,98.0
2023-02-01,229,14,215,0,0,,100.0
2023-03-01,244,18,226,0,-3,6.0,98.7
2023-04-01,266,27,239,0,-5,5.4,98.0
2023-05-01,283,21,261,1,-5,4.4,98.1
2023-06-01,297,18,278,1,-5,3.8,98.2
2023-07-01,307,14,293,0,-4,3.5,98.7
2023-08-01,319,16,303,0,-4,4.0,98.7
2023-09-01,335,23,312,0,-7,3.29,97.8
2023-10-01,358,26,331,1,-4,6.75,98.8
2023-11-01,368,23,345,0,-13,1.77,96.4
2023-12-01,378,18,360,0,-8,2.25,97.8
2024-01-01,393,23,370,0,-8,2.88,97.9
2024-02-01,418,31,387,0,-6,5.17,98.5
2024-03-01,465,48,415,2,-3,16.67,99.3
2024-04-01,500,48,452,0,-13,3.69,97.2
2024-05-01,540,45,494,1,-6,7.67,98.8
2024-06-01,548,20,528,0,-12,1.67,97.8
2024-07-01,558,20,538,0,-10,2.0,98.2
2024-08-01,574,22,552,0,-6,3.67,98.9
2024-09-01,581,23,558,0,-16,1.44,97.2
2024-10-01,597,32,565,0,-16,2.0,97.2
2024-11-01,615,31,583,1,-14,2.29,97.7
2024-12-01,644,40,604,0,-11,3.64,98.2
2025-01-01,680,45,635,0,-9,5.0,98.6
2025-02-01,703,33,669,1,-11,3.09,98.4
2025-03-01,723,29,692,2,-11,2.82,98.4
2025-04-01,726,23,701,2,-22,1.14,97.0
2025-05-01,746,36,708,2,-18,2.11,97.5
2025-06-01,765,31,734,0,-12,2.58,98.4
2025-07-01,785,33,751,1,-14,2.43,98.2
2025-08-01,817,48,769,0,-16,3.0,98.0
2025-09-01,832,28,803,1,-14,2.07,98.3
2025-10-01,855,37,816,2,-16,2.44,98.1
2025-11-01,869,29,840,0,-15,1.93,98.2
2025-12-01,886,31,853,2,-16,2.06,98.2
2026-01-01,888,20,865,3,-21,1.1,97.6
2026-02-01,908,38,870,0,-18,2.11,98.0
2026-03-01,939,44,893,2,-15,3.07,98.3
2026-04-01,953,33,919,1,-20,1.7,97.9
2026-05-01,950,28,921,1,-32,0.91,96.6
2026-06-01,939,27,911,1,-39,0.72,95.9
2026-07-01,937,22,914,1,-25,0.92,97.3
2026-08-01,928,6,920,2,-17,0.47,98.2
