cohort,k,cohort_size,active,logo_retention_pct,revenue_retention_pct,cum_rev_per_cohort_customer
2022-10-01,0,67,67,100.0,100.0,2565.0
2022-10-01,1,67,64,95.5,101.6,5171.0
2022-10-01,2,67,60,89.6,100.1,7738.0
2022-10-01,3,67,61,91.0,78.6,9755.0
2022-10-01,4,67,61,91.0,97.9,12265.0
2022-10-01,5,67,62,92.5,102.8,14902.0
2022-10-01,6,67,60,89.6,94.8,17335.0
2022-10-01,7,67,58,86.6,104.7,20020.0
2022-10-01,8,67,58,86.6,107.0,22765.0
2022-10-01,9,67,60,89.6,99.1,25306.0
2022-10-01,10,67,57,85.1,106.3,28032.0
2022-10-01,11,67,59,88.1,107.6,30793.0
2022-10-01,12,67,53,79.1,102.0,33410.0
2022-10-01,13,67,54,80.6,110.0,36233.0
2022-10-01,14,67,50,74.6,111.0,39080.0
2022-10-01,15,67,51,76.1,100.4,41656.0
2022-10-01,16,67,51,76.1,102.6,44289.0
2022-10-01,17,67,49,73.1,106.7,47028.0
2022-10-01,18,67,47,70.1,103.7,49689.0
2022-10-01,19,67,47,70.1,111.8,52558.0
2022-10-01,20,67,50,74.6,113.3,55465.0
2022-10-01,21,67,48,71.6,71.8,57307.0
2022-10-01,22,67,48,71.6,111.5,60167.0
2022-10-01,23,67,48,71.6,108.1,62939.0
2022-10-01,24,67,45,67.2,120.8,66038.0
2022-10-01,25,67,44,65.7,102.0,68654.0
2022-10-01,26,67,47,70.1,118.6,71697.0
2022-10-01,27,67,46,68.7,115.4,74657.0
2022-10-01,28,67,46,68.7,124.6,77853.0
2022-10-01,29,67,46,68.7,111.6,80714.0
2022-10-01,30,67,46,68.7,134.1,84155.0
2022-10-01,31,67,45,67.2,128.3,87446.0
2022-10-01,32,67,44,65.7,118.5,90486.0
2022-10-01,33,67,44,65.7,118.0,93512.0
2022-10-01,34,67,45,67.2,121.4,96627.0
2022-10-01,35,67,46,68.7,118.2,99659.0
2022-10-01,36,67,45,67.2,125.0,102866.0
2022-10-01,37,67,44,65.7,120.4,105955.0
2022-10-01,38,67,43,64.2,148.3,109758.0
2022-10-01,39,67,44,65.7,127.6,113032.0
2022-10-01,40,67,44,65.7,122.9,116186.0
2022-10-01,41,67,42,62.7,126.2,119424.0
2022-10-01,42,67,44,65.7,144.3,123125.0
2022-10-01,43,67,43,64.2,79.7,125171.0
2022-10-01,44,67,40,59.7,82.2,127279.0
2022-10-01,45,67,43,64.2,81.4,129368.0
2022-11-01,0,78,78,100.0,100.0,4731.0
2022-11-01,1,78,78,100.0,99.8,9450.0
2022-11-01,2,78,73,93.6,99.4,14155.0
2022-11-01,3,78,76,97.4,100.7,18918.0
2022-11-01,4,78,73,93.6,98.8,23593.0
2022-11-01,5,78,75,96.2,100.2,28331.0
2022-11-01,6,78,74,94.9,105.4,33316.0
2022-11-01,7,78,72,92.3,102.3,38158.0
2022-11-01,8,78,71,91.0,69.5,41447.0
2022-11-01,9,78,73,93.6,102.6,46298.0
2022-11-01,10,78,69,88.5,104.2,51225.0
2022-11-01,11,78,70,89.7,107.5,56309.0
2022-11-01,12,78,66,84.6,116.8,61832.0
2022-11-01,13,78,65,83.3,116.0,67322.0
2022-11-01,14,78,64,82.1,117.2,72867.0
2022-11-01,15,78,65,83.3,116.4,78372.0
2022-11-01,16,78,67,85.9,116.5,83881.0
2022-11-01,17,78,66,84.6,117.6,89443.0
2022-11-01,18,78,65,83.3,115.9,94925.0
2022-11-01,19,78,64,82.1,118.7,100540.0
2022-11-01,20,78,66,84.6,119.1,106174.0
2022-11-01,21,78,65,83.3,117.8,111748.0
2022-11-01,22,78,64,82.1,115.4,117209.0
2022-11-01,23,78,63,80.8,118.3,122806.0
2022-11-01,24,78,63,80.8,130.7,128989.0
2022-11-01,25,78,64,82.1,132.7,135265.0
2022-11-01,26,78,62,79.5,131.7,141498.0
2022-11-01,27,78,63,80.8,131.5,147716.0
2022-11-01,28,78,62,79.5,134.9,154098.0
2022-11-01,29,78,63,80.8,133.9,160431.0
2022-11-01,30,78,61,78.2,131.1,166634.0
2022-11-01,31,78,61,78.2,132.4,172897.0
2022-11-01,32,78,61,78.2,130.9,179090.0
2022-11-01,33,78,62,79.5,132.4,185355.0
2022-11-01,34,78,58,74.4,126.4,191332.0
2022-11-01,35,78,60,76.9,129.4,197455.0
2022-11-01,36,78,57,73.1,133.9,203791.0
2022-11-01,37,78,56,71.8,134.1,210137.0
2022-11-01,38,78,56,71.8,102.8,214999.0
2022-11-01,39,78,55,70.5,135.6,221415.0
2022-11-01,40,78,57,73.1,137.4,227912.0
2022-11-01,41,78,57,73.1,136.2,234357.0
2022-11-01,42,78,57,73.1,136.7,240823.0
2022-11-01,43,78,52,66.7,131.9,247063.0
2022-11-01,44,78,55,70.5,135.8,253488.0
2022-12-01,0,40,40,100.0,100.0,3159.0
2022-12-01,1,40,38,95.0,100.8,6342.0
2022-12-01,2,40,36,90.0,99.8,9495.0
2022-12-01,3,40,36,90.0,99.6,12642.0
2022-12-01,4,40,37,92.5,100.6,15820.0
2022-12-01,5,40,36,90.0,99.7,18968.0
2022-12-01,6,40,36,90.0,99.7,22117.0
2022-12-01,7,40,35,87.5,98.4,25225.0
2022-12-01,8,40,36,90.0,100.3,28394.0
2022-12-01,9,40,36,90.0,100.2,31560.0
2022-12-01,10,40,36,90.0,99.6,34708.0
2022-12-01,11,40,34,85.0,97.3,37783.0
2022-12-01,12,40,29,72.5,90.5,40643.0
2022-12-01,13,40,28,70.0,95.5,43660.0
2022-12-01,14,40,29,72.5,96.6,46712.0
2022-12-01,15,40,29,72.5,97.9,49803.0
2022-12-01,16,40,28,70.0,96.2,52841.0
2022-12-01,17,40,29,72.5,96.9,55902.0
2022-12-01,18,40,28,70.0,97.9,58995.0
2022-12-01,19,40,29,72.5,98.5,62107.0
2022-12-01,20,40,28,70.0,99.0,65234.0
2022-12-01,21,40,28,70.0,99.5,68377.0
2022-12-01,22,40,25,62.5,94.8,71372.0
2022-12-01,23,40,27,67.5,94.8,74368.0
2022-12-01,24,40,25,62.5,71.7,76634.0
2022-12-01,25,40,25,62.5,71.5,78892.0
2022-12-01,26,40,25,62.5,74.5,81244.0
2022-12-01,27,40,24,60.0,72.7,83541.0
2022-12-01,28,40,24,60.0,74.3,85887.0
2022-12-01,29,40,24,60.0,73.5,88208.0
2022-12-01,30,40,22,55.0,72.2,90490.0
2022-12-01,31,40,24,60.0,76.5,92906.0
2022-12-01,32,40,22,55.0,72.9,95209.0
2022-12-01,33,40,21,52.5,69.6,97407.0
2022-12-01,34,40,22,55.0,74.3,99755.0
2022-12-01,35,40,22,55.0,73.7,102082.0
2022-12-01,36,40,21,52.5,78.6,104565.0
2022-12-01,37,40,22,55.0,86.7,107305.0
2022-12-01,38,40,22,55.0,85.2,109997.0
2022-12-01,39,40,22,55.0,84.7,112672.0
2022-12-01,40,40,21,52.5,85.8,115381.0
2022-12-01,41,40,21,52.5,84.6,118055.0
2022-12-01,42,40,20,50.0,83.1,120681.0
2022-12-01,43,40,20,50.0,82.4,123285.0
2023-01-01,0,21,21,100.0,100.0,1540.0
2023-01-01,1,21,20,95.2,93.4,2978.0
2023-01-01,2,21,18,85.7,88.5,4340.0
2023-01-01,3,21,17,81.0,76.3,5514.0
2023-01-01,4,21,17,81.0,80.8,6758.0
2023-01-01,5,21,17,81.0,84.1,8053.0
2023-01-01,6,21,18,85.7,85.8,9374.0
2023-01-01,7,21,18,85.7,86.0,10699.0
2023-01-01,8,21,18,85.7,86.4,12028.0
2023-01-01,9,21,18,85.7,85.5,13345.0
2023-01-01,10,21,18,85.7,85.5,14662.0
2023-01-01,11,21,18,85.7,86.3,15991.0
2023-01-01,12,21,18,85.7,89.5,17370.0
2023-01-01,13,21,18,85.7,91.9,18784.0
2023-01-01,14,21,17,81.0,87.8,20137.0
2023-01-01,15,21,18,85.7,91.9,21551.0
2023-01-01,16,21,17,81.0,89.3,22926.0
2023-01-01,17,21,17,81.0,89.3,24300.0
2023-01-01,18,21,17,81.0,89.6,25680.0
2023-01-01,19,21,15,71.4,87.3,27024.0
2023-01-01,20,21,15,71.4,89.4,28401.0
2023-01-01,21,21,14,66.7,89.7,29782.0
2023-01-01,22,21,15,71.4,90.4,31174.0
2023-01-01,23,21,14,66.7,76.3,32348.0
2023-01-01,24,21,15,71.4,99.6,33882.0
2023-01-01,25,21,15,71.4,99.6,35416.0
2023-01-01,26,21,15,71.4,100.1,36958.0
2023-01-01,27,21,15,71.4,99.6,38491.0
2023-01-01,28,21,14,66.7,93.3,39927.0
2023-01-01,29,21,15,71.4,99.4,41458.0
2023-01-01,30,21,15,71.4,98.7,42978.0
2023-01-01,31,21,15,71.4,97.0,44472.0
2023-01-01,32,21,14,66.7,95.1,45936.0
2023-01-01,33,21,15,71.4,97.3,47434.0
2023-01-01,34,21,13,61.9,78.7,48645.0
2023-01-01,35,21,14,66.7,84.6,49947.0
2023-01-01,36,21,14,66.7,91.2,51351.0
2023-01-01,37,21,14,66.7,90.8,52749.0
2023-01-01,38,21,14,66.7,90.8,54147.0
2023-01-01,39,21,14,66.7,91.3,55552.0
2023-01-01,40,21,14,66.7,91.6,56963.0
2023-01-01,41,21,13,61.9,86.9,58301.0
2023-01-01,42,21,12,57.1,85.8,59623.0
2023-02-01,0,15,15,100.0,100.0,1086.0
2023-02-01,1,15,14,93.3,80.2,1958.0
2023-02-01,2,15,15,100.0,100.9,3054.0
2023-02-01,3,15,13,86.7,90.9,4042.0
2023-02-01,4,15,14,93.3,94.0,5063.0
2023-02-01,5,15,12,80.0,88.0,6019.0
2023-02-01,6,15,12,80.0,87.3,6967.0
2023-02-01,7,15,11,73.3,67.3,7699.0
2023-02-01,8,15,10,66.7,82.5,8594.0
2023-02-01,9,15,9,60.0,80.9,9473.0
2023-02-01,10,15,9,60.0,80.9,10352.0
2023-02-01,11,15,8,53.3,77.9,11198.0
2023-02-01,12,15,8,53.3,83.2,12102.0
2023-02-01,13,15,8,53.3,83.2,13005.0
2023-02-01,14,15,8,53.3,83.2,13909.0
2023-02-01,15,15,8,53.3,83.2,14812.0
2023-02-01,16,15,8,53.3,83.2,15716.0
2023-02-01,17,15,8,53.3,83.2,16620.0
2023-02-01,18,15,8,53.3,83.0,17522.0
2023-02-01,19,15,8,53.3,83.0,18423.0
2023-02-01,20,15,7,46.7,76.7,19256.0
2023-02-01,21,15,8,53.3,83.0,20158.0
2023-02-01,22,15,8,53.3,83.0,21060.0
2023-02-01,23,15,8,53.3,83.0,21962.0
2023-02-01,24,15,8,53.3,91.8,22959.0
2023-02-01,25,15,8,53.3,91.8,23956.0
2023-02-01,26,15,8,53.3,91.8,24953.0
2023-02-01,27,15,8,53.3,91.8,25950.0
2023-02-01,28,15,8,53.3,91.0,26939.0
2023-02-01,29,15,8,53.3,91.2,27929.0
2023-02-01,30,15,8,53.3,91.2,28920.0
2023-02-01,31,15,8,53.3,91.2,29911.0
2023-02-01,32,15,8,53.3,91.2,30902.0
2023-02-01,33,15,8,53.3,91.2,31893.0
2023-02-01,34,15,8,53.3,91.2,32884.0
2023-02-01,35,15,7,46.7,84.8,33805.0
2023-02-01,36,15,7,46.7,91.2,34796.0
2023-02-01,37,15,7,46.7,91.2,35786.0
2023-02-01,38,15,7,46.7,91.2,36776.0
