cohort_q,m00,m01,m03,m06,m12,m18,m24,m36
2022-10-01,100.0,100.4,94.8,101.6,108.0,109.4,117.0,121.2
2023-01-01,100.0,88.1,88.7,86.6,64.8,65.1,68.0,68.5
2023-04-01,100.0,99.7,95.1,92.4,98.1,93.9,74.0,83.6
2023-07-01,100.0,96.8,93.3,92.8,84.1,81.3,73.7,4.6
2023-10-01,100.0,98.1,99.2,97.3,103.0,98.3,101.8,
2024-01-01,100.0,92.9,62.1,74.3,62.3,61.8,71.5,
2024-04-01,100.0,99.1,90.8,89.7,87.5,84.5,96.8,
2024-07-01,100.0,98.9,99.6,94.3,93.8,93.8,3.1,
2024-10-01,100.0,97.1,97.5,92.3,87.7,80.9,,
2025-01-01,100.0,96.5,98.9,91.5,95.3,41.3,,
2025-04-01,100.0,96.8,95.8,90.7,96.7,,,
2025-07-01,100.0,98.4,91.2,90.9,16.4,,,
2025-10-01,100.0,98.0,97.8,97.2,,,,
2026-01-01,100.0,95.2,107.4,23.9,,,,
2026-04-01,100.0,97.6,18.9,,,,,
2026-07-01,100.0,,,,,,,
