quarter,cac_usd,cum_rev_12m_per_customer,months_observed,payback_months
2022-10-01,8850.0,46957.0,45,2
2023-01-01,26062.0,20248.0,42,18
2023-04-01,27846.0,30274.0,39,11
2023-07-01,30214.0,27232.0,36,14
2023-10-01,29655.0,31450.0,33,12
2024-01-01,18795.0,45151.0,30,4
2024-04-01,15068.0,28611.0,27,6
2024-07-01,29629.0,39017.0,24,9
2024-10-01,23049.0,28567.0,21,10
2025-01-01,18953.0,27213.0,18,8
2025-04-01,25129.0,27252.0,15,12
2025-07-01,18648.0,16042.0,12,
2025-10-01,27324.0,,9,7
2026-01-01,22472.0,,6,
