quarter,accounts_created,lead_source_blank
2016-10-01,1,1
2017-01-01,4,4
2017-04-01,7,7
2017-07-01,6,6
2017-10-01,3,3
2018-01-01,5,5
2018-04-01,6,6
2018-07-01,7,7
2018-10-01,6,6
2019-01-01,2,2
2019-04-01,9,9
2019-07-01,10,10
2019-10-01,13,13
2020-01-01,14,14
2020-04-01,13,13
2020-07-01,20,20
2020-10-01,16,16
2021-01-01,15,15
2021-04-01,19,19
2021-07-01,14,14
2021-10-01,13,13
2022-01-01,16,16
2022-04-01,17,17
2022-07-01,29,29
2022-10-01,65,65
2023-01-01,64,64
2023-04-01,68,68
2023-07-01,69,69
2023-10-01,70,70
2024-01-01,88,88
2024-04-01,72,41
2024-07-01,76,7
2024-10-01,70,6
2025-01-01,94,10
2025-04-01,65,5
2025-07-01,92,9
2025-10-01,88,11
2026-01-01,112,12
2026-04-01,90,11
2026-07-01,16,1
