quarter,plan_tier,new_customers
2022-10-01,(unmatched),20
2022-10-01,Enterprise,26
2022-10-01,Growth,75
2022-10-01,Starter,64
2023-01-01,(unmatched),8
2023-01-01,Enterprise,2
2023-01-01,Growth,22
2023-01-01,Starter,24
2023-04-01,(unmatched),4
2023-04-01,Enterprise,6
2023-04-01,Growth,24
2023-04-01,Starter,26
2023-07-01,(unmatched),4
2023-07-01,Enterprise,6
2023-07-01,Growth,16
2023-07-01,Starter,25
2023-10-01,(unmatched),7
2023-10-01,Enterprise,7
2023-10-01,Growth,19
2023-10-01,Starter,29
2024-01-01,(unmatched),8
2024-01-01,Enterprise,6
2024-01-01,Growth,31
2024-01-01,Starter,47
2024-04-01,(unmatched),7
2024-04-01,Enterprise,8
2024-04-01,Growth,46
2024-04-01,Starter,58
2024-07-01,(unmatched),7
2024-07-01,Enterprise,9
2024-07-01,Growth,16
2024-07-01,Starter,27
2024-10-01,(unmatched),7
2024-10-01,Enterprise,14
2024-10-01,Growth,27
2024-10-01,Starter,45
2025-01-01,(unmatched),9
2025-01-01,Enterprise,7
2025-01-01,Growth,40
2025-01-01,Starter,47
2025-04-01,(unmatched),7
2025-04-01,Enterprise,6
2025-04-01,Growth,26
2025-04-01,Starter,46
2025-07-01,(unmatched),6
2025-07-01,Enterprise,6
2025-07-01,Growth,35
2025-07-01,Starter,66
2025-10-01,(unmatched),6
2025-10-01,Enterprise,14
2025-10-01,Growth,30
2025-10-01,Starter,41
2026-01-01,(unmatched),11
2026-01-01,Enterprise,6
2026-01-01,Growth,19
2026-01-01,Starter,65
2026-04-01,(unmatched),9
2026-04-01,Enterprise,3
2026-04-01,Growth,21
2026-04-01,Starter,60
2026-07-01,Enterprise,5
2026-07-01,Growth,6
2026-07-01,Starter,21
