segment,paying_customers,ttm_usd,revenue_share_pct,mean_ttm_per_paying,median_ttm_per_paying
Energy,96,4619038.0,11.7,48115.0,8463.0
(unmatched),88,4565226.0,11.5,51878.0,11752.0
Construction,118,4253302.0,10.7,36045.0,8563.0
Education,89,3848621.0,9.7,43243.0,12217.0
Fintech,104,3664631.0,9.3,35237.0,7152.0
Retail,96,3332878.0,8.4,34717.0,9867.0
Logistics,100,3326867.0,8.4,33269.0,9465.0
Manufacturing,104,3272286.0,8.3,31464.0,14334.0
Hospitality,100,3171704.0,8.0,31717.0,10820.0
Healthcare,89,3084771.0,7.8,34660.0,12076.0
Media,81,2453132.0,6.2,30286.0,10188.0
