month,board_customers,billing_recognized_payers,telemetry_active_orgs,board_over_billing_pct,board_mrr,billing_recognized_rev,board_mrr_over_billing_pct,board_revenue_basis,board_new,billing_new_customers,board_churned,adjustment,prepared_by
2022-10-01,214,67,89,219.4,989541,171871.0,475.7,cash,26,67,0,,J.R.
2022-11-01,227,142,170,59.9,1025725,543557.0,88.7,cash,22,78,4,,J.R.
2022-12-01,241,178,196,35.4,1065476,666534.0,59.9,cash,16,40,0,,J.R.
2023-01-01,252,193,215,30.6,1093813,661727.0,65.3,cash,21,21,1,,J.R.
2023-02-01,263,208,229,26.4,1140589,712348.0,60.1,cash,17,15,5,,J.R.
2023-03-01,275,223,244,23.3,1213126,761835.0,59.2,cash,21,20,0,,J.R.
2023-04-01,291,246,266,18.3,1273464,801975.0,58.8,cash,26,24,4,,J.R.
2023-05-01,303,259,283,17.0,1313581,892296.0,47.2,cash,23,20,4,,J.R.
2023-06-01,297,272,297,9.2,1326936,928707.0,42.9,cash,20,16,1,-14,J.R.
2023-07-01,325,283,307,14.8,1372811,826528.0,66.1,cash,19,15,2,,J.R.
2023-08-01,342,298,319,14.8,1407585,991933.0,41.9,cash,19,17,1,,J.R.
2023-09-01,360,308,335,16.9,1459128,1029660.0,41.7,cash,26,19,5,,J.R.
2023-10-01,377,325,358,16.0,1536182,1107331.0,38.7,cash,25,25,9,,J.R.
2023-11-01,389,341,368,14.1,1558517,1203859.0,29.5,cash,25,24,5,,J.R.
2023-12-01,407,337,378,20.8,1589139,1216890.0,30.6,cash,14,13,5,,J.R.
2024-01-01,421,357,393,17.9,1773238,1245466.0,42.4,cash,29,24,5,,J.R.
2024-02-01,440,377,418,16.7,1838516,1548640.0,18.7,cash,24,23,3,,J.R.
2024-03-01,470,416,465,13.0,1945308,1592033.0,22.2,cash,30,45,6,9,J.R.
2024-04-01,485,443,500,9.5,1998042,1698680.0,17.6,cash,30,48,8,,J.R.
2024-05-01,496,481,540,3.1,2055147,1691420.0,21.5,cash,26,47,3,,J.R.
2024-06-01,507,507,548,0.0,2049221,1794778.0,14.2,cash,21,24,5,,J.R.
2024-07-01,520,519,558,0.2,2085580,1790659.0,16.5,cash,16,15,6,,J.R.
2024-08-01,541,512,574,5.7,2204693,1860569.0,18.5,cash,21,20,10,,J.R.
2024-09-01,559,526,581,6.3,2261295,1926424.0,17.4,cash,22,24,4,,J.R.
2024-10-01,573,529,597,8.3,2275909,1996920.0,14.0,cash,27,25,11,,J.R.
2024-11-01,566,559,615,1.3,2361923,2061359.0,14.6,cash,23,34,6,-22,J.R.
2024-12-01,603,584,644,3.3,2479299,2178359.0,13.8,cash,20,34,9,,J.R.
2025-01-01,624,611,680,2.1,2566906,2215661.0,15.9,cash,24,41,3,,J.R.
2025-02-01,646,638,703,1.3,2533218,2343248.0,8.1,cash,31,35,7,,J.R.
2025-03-01,675,651,723,3.7,2619443,2365455.0,10.7,recognized,27,27,12,,M.K.
2025-04-01,691,662,726,4.4,2727299,2464322.0,10.7,recognized,27,30,7,,M.K.
2025-05-01,703,666,746,5.6,2751981,2476332.0,11.1,recognized,22,19,5,,M.K.
2025-06-01,715,693,765,3.2,2797248,2519989.0,11.0,recognized,23,36,7,,M.K.
2025-07-01,748,711,785,5.2,2806595,2570591.0,9.2,recognized,18,35,10,,M.K.
2025-08-01,771,754,817,2.3,2867620,2606930.0,10.0,recognized,31,51,8,,M.K.
2025-09-01,810,755,832,7.3,2954489,2619938.0,12.8,recognized,26,27,11,11,M.K.
2025-10-01,823,787,855,4.6,3063979,2769546.0,10.6,recognized,36,35,5,,M.K.
2025-11-01,851,798,869,6.6,3205737,2830408.0,13.3,recognized,34,36,16,,M.K.
2025-12-01,872,809,886,7.8,3243468,3045009.0,6.5,recognized,22,20,8,,M.K.
2026-01-01,895,820,888,9.1,3273151,2997751.0,9.2,recognized,28,29,6,,M.K.
2026-02-01,923,836,908,10.4,3447088,3124800.0,10.3,recognized,32,30,9,-6,M.K.
2026-03-01,966,866,939,11.5,3493141,3262420.0,7.1,recognized,40,42,9,,M.K.
2026-04-01,994,890,953,11.7,3614998,3360246.0,7.6,recognized,36,37,14,,M.K.
2026-05-01,1013,903,950,12.2,3642556,3357431.0,8.5,recognized,26,28,7,,M.K.
2026-06-01,1045,894,939,16.9,3738960,3509202.0,6.5,recognized,29,28,19,,M.K.
2026-07-01,1050,899,937,16.8,3807042,3483581.0,9.3,recognized,19,18,14,,M.K.
