account_id,account_name,email_domain,sector,created_date,account_status,plan_tier,mrr_usd,owner
001Qy00000100628,Harborview Supply Labs,harborview.com,Logistics,2023-11-07,Churned,Growth,5745.96,j.whitfield
001Qy00000100677,Kestrel Clinical Holdings,kestrel.com,Education,2026-03-02,Active,Growth,830.37,p.lindqvist
001Qy00000100024,Ashcombe Keystone Corp,ashcombe.com,Logistics,2024-02-20,Active,Enterprise,0.00,p.lindqvist
001Qy00000100153,Nightingale Anchor Labs,nightingale.com,Construction,2024-09-04,Churned,Enterprise,0.00,m.tan
001Qy00000101189,Cerulean Pioneer LLC,cerulean.com,Media,2023-08-07,Inactive,Growth,104.98,j.whitfield
001Qy00000100471,Ravenswood Summit Corp,ravenswood.com,Retail,2024-08-01,Active,Growth,260.86,d.castellanos
001Qy00000101049,Harborview Sterling LLC,harborview.com,Education,2026-03-28,Active,Growth,0.00,s.okoro
001Qy00000100391,Whitmore Sable Inc,whitmore.com,Logistics,2023-09-20,Active,Growth,5135.04,s.okoro
001Qy00000100313,Blackthorn Freight Partners,blackthorn.com,Logistics,2024-03-28,Churned,Starter,419.30,d.castellanos
001Qy00000100106,Guimarães Log Onyx,guimaraes.com,Hospitality,2022-11-23,Active,Starter,1367.44,d.castellanos
001Qy00000100412,Fairmount Lumen Holdings,fairmount.com,Manufacturing,2024-06-18,Churned,Growth,0.00,m.tan
001Qy00000101168,Harborview Sterling Inc.,harborview.com,Construction,2023-03-21,Inactive,Growth,388.93,p.lindqvist
001Qy00000100535,Inglewood Vector Group,inglewood.com,Healthcare,2025-03-31,Active,Starter,853.59,d.castellanos
001Qy00000100282,Umbra Anchor Labs,umbra.com,Energy,2026-04-06,Inactive,Growth,1246.94,m.tan
001Qy00000100479,Tanglewood Atlas Labs,tanglewood.com,Healthcare,2024-04-09,Active,Starter,0.00,j.whitfield
001Qy00000100132,Silverline Digital Group,silverline.com,Healthcare,2023-04-17,Inactive,Growth,452.09,j.whitfield
001Qy00000101161,Dunmore Trading Partners,dunmore.com,Healthcare,2023-07-19,Active,Growth,397.10,a.reyes
001Qy00000100342,Thornbury Cascade Corp,thornbury.com,Healthcare,2024-05-07,Churned,Growth,1298.71,a.reyes
001Qy00000100414,Inglewood Vector,inglewood.com,Logistics,2022-12-24,Inactive,Growth,443.00,s.okoro
001Qy00000101191,Orchard Nimbus Partners,orchard.com,Manufacturing,2023-12-19,Inactive,Starter,0.00,j.whitfield
001Qy00000100057,Brightwater Precision LLC,brightwater.com,Hospitality,2025-03-30,Active,Starter,1120.41,j.whitfield
001Qy00000100147,Westbrook Quantum Holdings,westbrook.com,Fintech,2025-11-17,Churned,Growth,455.81,a.reyes
001Qy00000101074,Redstone Summit Corp,redstone.com,Media,2026-05-29,Active,Starter,187.05,p.lindqvist
001Qy00000101173,Thornbury Vector Partners,thornbury.com,Healthcare,2024-07-07,Churned,Starter,778.49,p.lindqvist
001Qy00000100888,Quillfeather Keystone Systems,quillfeather.com,Education,2025-10-14,Active,Enterprise,1250.37,d.castellanos
001Qy00000101060,Quarry Beacon Group,quarry.com,Energy,2025-03-11,Inactive,Growth,1064.67,m.tan
001Qy00000100811,Marbury Lumen Partners,marbury.com,Retail,2022-12-24,Active,Growth,8923.50,s.okoro
001Qy00000100246,Tanglewood Clinical Systems,tanglewood.com,Construction,2025-10-23,Active,Starter,832.65,j.whitfield
001Qy00000100509,Kestrel Analytics Labs,kestrel.com,Fintech,2024-02-11,Active,Growth,785.95,j.whitfield
001Qy00000100664,Underhill Trading Partners,underhill.com,Retail,2023-10-05,Active,Starter,9969.63,j.whitfield
001Qy00000100109,Quillfeather Supply Holdings,quillfeather.com,Healthcare,2023-06-06,Active,Growth,0.00,s.okoro
001Qy00000100879,Redstone Compass Holdings,redstone.com,Fintech,2026-03-03,Inactive,Growth,0.00,d.castellanos
001Qy00000100152,Eastvale Quantum Holdings,eastvale.com,Logistics,2025-09-18,Churned,Enterprise,2342.30,d.castellanos
001Qy00000100201,Grupo Peña Analytics,grupo.com,Logistics,2023-08-07,Inactive,Enterprise,1225.96,j.whitfield
001Qy00000100584,Nightingale Clinical Labs,nightingale.com,Healthcare,2025-02-19,Active,Growth,425.44,d.castellanos
001Qy00000100852,Ashcombe Trading Inc,ashcombe.com,Healthcare,2022-10-26,Active,Growth,2112.49,m.tan
001Qy00000100660,Pemberton Onyx Systems,pemberton.com,Energy,2026-04-23,Active,Starter,0.00,s.okoro
001Qy00000100784,Meridian Summit Holdings,meridian.com,Retail,2025-02-26,Active,Growth,0.00,m.tan
001Qy00000100058,Zenith Trading Corp,zenith.com,Fintech,2023-04-26,Active,Growth,389.51,j.whitfield
001Qy00000100397,Larkspur Keystone Group,larkspur.com,Hospitality,2024-10-06,Inactive,Starter,362.11,p.lindqvist
001Qy00000100846,Eastvale Pioneer Systems,eastvale.com,Construction,2026-03-03,Inactive,Enterprise,0.00,m.tan
001Qy00000100289,Hollowway Compass Holdings,hollowway.com,Logistics,2026-04-23,Active,Growth,723.04,p.lindqvist
001Qy00000100422,Ashcombe Anchor Corp,ashcombe.com,Education,2024-01-08,Active,Enterprise,780.80,a.reyes
001Qy00000100575,Eastvale Lumen Inc,eastvale.com,Retail,2025-10-01,Churned,Growth,2168.70,p.lindqvist
001Qy00000101068,Tanglewood Vector Systems,tanglewood.com,Fintech,2025-07-22,Churned,Starter,5237.90,j.whitfield
001Qy00000100942,Larkspur Freight Labs,larkspur.com,Hospitality,2024-05-03,Active,Starter,349.71,j.whitfield
001Qy00000100976,Cerulean Freight Corp,cerulean.com,Construction,2024-07-12,Active,Growth,0.00,s.okoro
001Qy00000100690,Dunmore Trading Inc,dunmore.com,Hospitality,2023-04-23,Active,Enterprise,0.00,d.castellanos
001Qy00000100618,Pinnacle Compass Inc,pinnacle.com,Construction,2025-03-06,Churned,Growth,0.00,j.whitfield
001Qy00000101043,Harborview Atlas Corp,harborview.com,Retail,2023-12-10,Active,Growth,7966.08,m.tan
001Qy00000100935,Fairmount Digital Group,fairmount.com,Media,2023-10-04,Active,Growth,1213.68,s.okoro
001Qy00000100444,Ashcombe Onyx Labs,ashcombe.com,Manufacturing,2022-12-02,Active,Enterprise,391.82,m.tan
001Qy00000100971,Whitmore Precision Inc,whitmore.com,Construction,2025-02-04,Active,Growth,861.98,j.whitfield
001Qy00000100054,Cranfield Atlas Labs,cranfield.com,Retail,2026-03-10,Inactive,Enterprise,0.00,m.tan
001Qy00000100116,Cranfield Compass Corp,cranfield.com,Energy,2023-10-27,Active,Starter,5320.17,s.okoro
001Qy00000101166,Ironwood Foundry LLC,ironwood.com,Manufacturing,2026-01-04,Active,Enterprise,2298.72,d.castellanos
001Qy00000100937,Dovetail Pioneer Labs,dovetail.com,Healthcare,2024-11-29,Active,Growth,249.08,a.reyes
001Qy00000100844,Northwind Foundry Systems,northwind.com,Construction,2024-08-08,Active,Growth,0.00,a.reyes
001Qy00000100124,Kestrel Foundry Group,kestrel.com,Fintech,2023-05-22,Churned,Growth,16.51,m.tan
001Qy00000100044,Tanglewood Cascade Group,tanglewood.com,Healthcare,2025-03-27,Inactive,Growth,0.00,s.okoro
001Qy00000100245,Quillfeather Trading Holdings,quillfeather.com,Media,2024-04-23,Churned,Growth,828.81,s.okoro
001Qy00000100037,Harborview Supply Group,harborview.com,Construction,2023-08-08,Active,Enterprise,2157.86,d.castellanos
001Qy00000100615,Underhill Nimbus Systems,underhill.com,Education,2023-07-25,Active,Growth,1344.28,p.lindqvist
001Qy00000100489,Glenrock Quantum Corp,glenrock.com,Education,2023-11-18,,Growth,9443.84,a.reyes
001Qy00000101202,Dunmore Coastal Group,dunmore.com,Logistics,2025-11-14,Inactive,Starter,0.00,m.tan
001Qy00000100774,Quarry Nimbus Holdings,quarry.com,Hospitality,2024-01-05,Active,Enterprise,0.00,m.tan
001Qy00000100428,Hollowway Summit Corp,hollowway.com,Manufacturing,2025-11-03,,Enterprise,5445.65,s.okoro
001Qy00000100583,Copperfield Precision Labs,copperfield.com,Healthcare,2024-08-06,Active,Growth,4610.12,s.okoro
001Qy00000101129,Quarry Onyx Corp,quarry.com,Media,2024-03-16,Active,Starter,1030.95,a.reyes
001Qy00000101111,Verdigris Freight Corp,verdigris.com,Healthcare,2024-02-03,Active,Starter,0.00,a.reyes
001Qy00000100367,Larkspur Coastal Holdings,larkspur.com,Fintech,2023-07-17,Active,Growth,2518.14,s.okoro
001Qy00000100885,Quillfeather Atlas Holdings,quillfeather.com,Construction,2024-02-22,Active,Growth,4855.47,m.tan
001Qy00000101204,Blackthorn Beacon Partners,blackthorn.com,Hospitality,2024-10-14,Active,Enterprise,1222.72,p.lindqvist
